Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Mkt_class,Ind_class
002081.SZ,2008-10-22,14.29,14.25,14.5,14.09,14.5,-0.25,-1.72,1121.8,1608.18,0.272,0.272,0.95,22.2219,15.7995,3.0625,0.5801,0.6337,0.9357,0.9357,14100.0,4125.0,4125.0,200925.0,58781.2,1.516,1,96
002081.SZ,2008-10-23,14.24,14.68,14.68,13.88,14.25,0.43,3.02,764.6,1085.2,0.1854,0.1854,0.59,22.8925,16.2762,3.1549,0.5977,0.6528,0.9083,0.9083,14100.0,4125.0,4125.0,206988.0,60555.0,1.516,1,96
002081.SZ,2008-10-24,14.68,15.0,15.14,14.12,14.68,0.32,2.18,2305.3,3411.18,0.5589,0.5589,1.77,23.3915,16.631,3.2237,0.6107,0.6671,0.8889,0.8889,14100.0,4125.0,4125.0,211500.0,61875.0,1.516,1,96
002081.SZ,2008-10-27,14.68,14.01,14.99,14.01,15.0,-0.99,-6.6,1881.6,2743.88,0.4561,0.4561,1.1,21.8476,15.5334,3.0109,0.5704,0.623,0.9517,0.9517,14100.0,4125.0,4125.0,197541.0,57791.2,1.516,1,96
002081.SZ,2008-10-28,14.0,14.88,14.88,14.0,14.01,0.87,6.21,2538.79,3626.59,0.6155,0.6155,1.55,23.2043,16.498,3.1979,0.6058,0.6617,0.8961,0.8961,14100.0,4125.0,4125.0,209808.0,61380.0,1.516,1,96
002081.SZ,2008-10-29,15.1,15.25,15.25,14.58,14.88,0.37,2.49,1225.58,1831.35,0.2971,0.2971,0.71,23.7813,16.9082,3.2774,0.6209,0.6782,0.8743,0.8743,14100.0,4125.0,4125.0,215025.0,62906.2,1.516,1,96
002081.SZ,2008-10-30,15.25,15.12,15.29,14.88,15.25,-0.13,-0.85,552.5,832.0,0.1339,0.1339,0.32,23.5786,16.7641,3.2495,0.6156,0.6724,0.8818,0.8818,14100.0,4125.0,4125.0,213192.0,62370.0,1.516,1,96
002081.SZ,2008-10-31,14.96,14.7,15.09,14.49,15.12,-0.42,-2.78,578.5,850.841,0.1402,0.1402,0.34,22.9237,16.2984,3.1592,0.5985,0.6537,0.907,0.907,14100.0,4125.0,4125.0,207270.0,60637.5,1.516,1,96
002081.SZ,2008-11-03,14.79,14.8,14.8,14.1,14.7,0.1,0.68,655.38,947.913,0.1589,0.1589,0.48,23.0796,16.4093,3.1807,0.6025,0.6582,0.9009,0.9009,14100.0,4125.0,4125.0,208680.0,61050.0,1.516,1,96
002081.SZ,2008-11-04,14.5,14.68,14.75,14.33,14.8,-0.12,-0.81,443.0,646.266,0.1074,0.1074,0.4,22.8925,16.2762,3.1549,0.5977,0.6528,0.9083,0.9083,14100.0,4125.0,4125.0,206988.0,60555.0,1.516,1,96
002081.SZ,2008-11-05,14.66,14.75,15.32,14.45,14.68,0.07,0.48,852.02,1263.97,0.2066,0.2066,1.23,23.0016,16.3538,3.17,0.6005,0.6559,0.904,0.904,14100.0,4125.0,4125.0,207975.0,60843.8,1.516,1,96
002081.SZ,2008-11-06,14.54,14.42,14.73,14.2,14.75,-0.33,-2.24,579.02,841.385,0.1404,0.1404,0.94,22.487,15.9879,3.099,0.5871,0.6413,0.9246,0.9246,14100.0,4125.0,4125.0,203322.0,59482.5,1.516,1,96
002081.SZ,2008-11-07,14.59,15.15,15.15,14.4,14.42,0.73,5.06,779.5,1147.32,0.189,0.189,1.25,23.6254,16.7973,3.2559,0.6168,0.6737,0.8801,0.8801,14100.0,4125.0,4125.0,213615.0,62493.8,1.516,1,96
002081.SZ,2008-11-10,14.8,16.18,16.2,14.61,15.15,1.03,6.8,2701.02,4239.13,0.6548,0.6548,4.08,25.2316,17.9393,3.4773,0.6587,0.7195,0.8241,0.8241,14100.0,4125.0,4125.0,228138.0,66742.5,1.516,1,96
002081.SZ,2008-11-11,15.71,15.77,16.39,15.5,16.18,-0.41,-2.53,1464.18,2337.67,0.355,0.355,1.37,24.5922,17.4847,3.3892,0.642,0.7013,0.8455,0.8455,14100.0,4125.0,4125.0,222357.0,65051.2,1.516,1,96
002081.SZ,2008-11-12,15.6,15.99,15.99,15.6,15.77,0.22,1.4,981.34,1545.16,0.2379,0.2379,0.77,24.9353,17.7287,3.4364,0.651,0.7111,0.8339,0.8339,14100.0,4125.0,4125.0,225459.0,65958.8,1.516,1,96
002081.SZ,2008-11-13,15.6,16.75,17.09,15.6,15.99,0.76,4.75,3192.22,5310.61,0.7739,0.7739,2.45,26.1205,18.5713,3.5998,0.6819,0.7449,0.796,0.796,14100.0,4125.0,4125.0,236175.0,69093.8,1.516,1,96
002081.SZ,2008-11-14,16.97,17.3,17.4,16.64,16.75,0.55,3.28,4920.51,8455.59,1.1929,1.1929,2.7,26.9782,19.1811,3.718,0.7043,0.7693,0.7707,0.7707,14100.0,4125.0,4125.0,243930.0,71362.5,1.516,1,96
002081.SZ,2008-11-17,17.08,18.05,18.15,17.08,17.3,0.75,4.34,2816.51,5023.49,0.6828,0.6828,1.06,28.1477,20.0126,3.8792,0.7349,0.8027,0.7387,0.7387,14100.0,4125.0,4125.0,254505.0,74456.2,1.516,1,96
