Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Ind_class
002750.SZ,2024-01-02,9.99,10.03,10.08,9.92,10.0,0.03,0.3,44593.0,44633.7,1.1184,2.5456,0.91,,,7.2198,32.6678,44.027,0.0,,40050.0,39873.6,17517.8,401702.0,399932.0,6.155,中成药
002750.SZ,2024-01-03,10.1,11.03,11.03,9.99,10.03,1.0,9.9701,462047.0,505635.0,11.5878,26.3758,9.19,,,7.9396,35.9248,48.4165,0.0,,40050.0,39873.6,17517.8,441752.0,439806.0,6.155,中成药
002750.SZ,2024-01-04,10.75,10.83,11.35,10.62,11.03,-0.2,-1.8132,409070.0,446998.0,10.2592,23.3516,3.11,,,7.7957,35.2734,47.5386,0.0,,40050.0,39873.6,17517.8,433742.0,431831.0,6.155,中成药
002750.SZ,2024-01-05,10.72,11.05,11.23,10.66,10.83,0.22,2.0314,328157.0,358824.0,8.2299,18.7327,1.6,,,7.954,35.99,48.5043,0.0,,40050.0,39873.6,17517.8,442552.0,440604.0,6.155,中成药
002750.SZ,2024-01-08,10.87,10.54,11.01,10.5,11.05,-0.51,-4.6154,210311.0,225841.0,5.2744,12.0055,0.81,,,7.5869,34.3289,46.2656,0.0,,40050.0,39873.6,17517.8,422127.0,420268.0,6.155,中成药
002750.SZ,2024-01-09,10.59,10.4,10.65,10.25,10.54,-0.14,-1.3283,150459.0,156613.0,3.7734,8.5889,0.52,,,7.4861,33.8729,45.6511,0.0,,40050.0,39873.6,17517.8,416520.0,414686.0,6.155,中成药
002750.SZ,2024-01-10,10.3,10.15,10.31,9.81,10.4,-0.25,-2.4038,146180.0,147367.0,3.6661,8.3447,0.47,,,7.3062,33.0587,44.5537,0.0,,40050.0,39873.6,17517.8,406508.0,404717.0,6.155,中成药
002750.SZ,2024-01-11,10.2,10.45,10.79,10.16,10.15,0.3,2.9557,146272.0,151549.0,3.6684,8.3499,0.59,,,7.5221,34.0358,45.8706,0.0,,40050.0,39873.6,17517.8,418522.0,416679.0,6.155,中成药
002750.SZ,2024-01-12,10.26,10.85,11.5,10.2,10.45,0.4,3.8278,318878.0,346653.0,7.9972,18.203,1.62,,,7.8101,35.3386,47.6264,0.0,,40050.0,39873.6,17517.8,434542.0,432629.0,6.155,中成药
002750.SZ,2024-01-15,10.61,10.82,11.06,10.61,10.85,-0.03,-0.2765,209068.0,227061.0,5.2433,11.9346,1.08,,,7.7885,35.2409,47.4947,0.0,,40050.0,39873.6,17517.8,433341.0,431433.0,6.155,中成药
