Instrument,Date,Close,Open,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount
000906.SH,2008-01-02,5278.92,5217.93,5294.61,5167.08,5205.74,73.184,1.4058,80014600.0,149336000.0
000906.SH,2008-01-03,5329.96,5276.88,5330.43,5235.42,5278.92,51.04,0.9669,106633000.0,197736000.0
000906.SH,2008-01-04,5380.78,5338.83,5393.36,5322.53,5329.96,50.819,0.9535,85055000.0,169193000.0
000906.SH,2008-01-07,5459.6,5377.21,5471.32,5354.62,5380.78,78.824,1.4649,93889100.0,184488000.0
000906.SH,2008-01-08,5406.77,5477.04,5511.06,5364.55,5459.6,-52.835,-0.9677,107372000.0,211890000.0
000906.SH,2008-01-09,5505.88,5385.36,5506.51,5370.6,5406.77,99.114,1.8331,81620700.0,161557000.0
000906.SH,2008-01-10,5557.09,5523.28,5593.94,5500.49,5505.88,51.203,0.93,105080000.0,207281000.0
000906.SH,2008-01-11,5577.2,5570.73,5580.96,5507.82,5557.09,20.116,0.362,91115300.0,176179000.0
000906.SH,2008-01-14,5616.75,5592.87,5637.66,5561.82,5577.2,39.544,0.709,83696900.0,162721000.0
000906.SH,2008-01-15,5597.5,5627.26,5644.37,5548.7,5616.75,-19.244,-0.3426,87767000.0,176492000.0
000906.SH,2008-01-16,5432.36,5549.98,5549.98,5421.84,5597.5,-165.14,-2.9502,94834500.0,185550000.0
000906.SH,2008-01-17,5293.28,5378.7,5465.06,5150.76,5432.36,-139.086,-2.5603,104872000.0,201317000.0
000906.SH,2008-01-18,5341.16,5287.0,5344.52,5235.25,5293.28,47.882,0.9046,75151200.0,140006000.0
000906.SH,2008-01-21,5084.98,5352.06,5361.88,5062.88,5341.16,-256.179,-4.7963,83296600.0,153435000.0
000906.SH,2008-01-22,4688.1,4957.98,4963.27,4648.08,5084.98,-396.883,-7.805,101147000.0,182479000.0
000906.SH,2008-01-23,4913.08,4714.44,4914.0,4679.38,4688.1,224.986,4.7991,93971100.0,164683000.0
