Instrument,Date,Close,Open,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount
000905.SH,2008-01-02,5123.93,4963.05,5125.32,4960.35,4947.6,176.331,3.564,34345900.0,50449900.0
000905.SH,2008-01-03,5230.75,5129.05,5241.55,5110.53,5123.93,106.815,2.0846,41987500.0,61752700.0
000905.SH,2008-01-04,5243.03,5241.09,5246.11,5171.4,5230.75,12.283,0.2348,33308600.0,50326500.0
000905.SH,2008-01-07,5347.81,5237.94,5358.59,5222.2,5243.03,104.774,1.9983,40403700.0,61298200.0
000905.SH,2008-01-08,5200.55,5358.81,5367.54,5158.12,5347.81,-147.254,-2.7535,42472900.0,63914000.0
000905.SH,2008-01-09,5356.48,5176.27,5356.48,5167.34,5200.55,155.93,2.9983,34823800.0,53189300.0
000905.SH,2008-01-10,5382.33,5372.82,5438.31,5354.86,5356.48,25.844,0.4825,40849700.0,62964600.0
000905.SH,2008-01-11,5376.8,5385.9,5392.27,5290.71,5382.33,-5.529,-0.1027,34948200.0,53938000.0
000905.SH,2008-01-14,5445.1,5382.73,5450.89,5368.48,5376.8,68.305,1.2704,33850900.0,53364300.0
000905.SH,2008-01-15,5487.09,5451.64,5495.39,5418.12,5445.1,41.986,0.7711,36880400.0,56818800.0
000905.SH,2008-01-16,5412.91,5461.88,5463.2,5389.15,5487.09,-74.177,-1.3518,39060000.0,58914600.0
000905.SH,2008-01-17,5270.96,5380.82,5467.13,5106.92,5412.91,-141.955,-2.6225,42935100.0,65265000.0
000905.SH,2008-01-18,5317.45,5268.9,5320.45,5210.36,5270.96,46.492,0.882,31238200.0,44924700.0
000905.SH,2008-01-21,5097.23,5331.67,5343.87,5078.5,5317.45,-220.222,-4.1415,35463000.0,51894900.0
000905.SH,2008-01-22,4661.83,4976.79,4976.79,4639.96,5097.23,-435.4,-8.5419,40374500.0,56449800.0
000905.SH,2008-01-23,4912.06,4662.71,4912.48,4624.94,4661.83,250.232,5.3677,38194800.0,53676700.0
000905.SH,2008-01-24,5080.93,4951.38,5116.49,4915.97,4912.06,168.868,3.4378,42780000.0,62469700.0
000905.SH,2008-01-25,5096.69,5081.31,5146.86,5054.08,5080.93,15.764,0.3103,38904400.0,55478500.0
000905.SH,2008-01-28,4740.5,5073.63,5073.63,4712.61,5096.69,-356.189,-6.9886,34534600.0,46942100.0
000905.SH,2008-01-29,4840.64,4757.19,4888.79,4720.68,4740.5,100.135,2.1123,23744400.0,32685600.0
000905.SH,2008-01-30,4851.43,4878.4,4950.18,4725.39,4840.64,10.79,0.2229,24904500.0,35532400.0
000905.SH,2008-01-31,4663.42,4839.4,4868.31,4661.59,4851.43,-188.011,-3.8754,18567900.0,25737700.0
000905.SH,2008-02-01,4456.93,4653.54,4686.6,4308.52,4663.42,-206.488,-4.4278,22513700.0,29182500.0
000905.SH,2008-02-04,4820.39,4570.11,4821.08,4570.11,4456.93,363.46,8.1549,21305100.0,30008500.0
000905.SH,2008-02-05,4839.0,4818.54,4889.38,4751.23,4820.39,18.608,0.386,20773900.0,30045300.0
000905.SH,2008-02-13,4813.58,4798.57,4884.69,4749.15,4839.0,-25.414,-0.5252,15587000.0,22130200.0
000905.SH,2008-02-14,4910.36,4842.94,4929.77,4842.94,4813.58,96.777,2.0105,16113500.0,22683000.0
000905.SH,2008-02-15,4886.02,4884.37,4886.06,4800.64,4910.36,-24.342,-0.4957,19162800.0,27277900.0
000905.SH,2008-02-18,5043.14,4953.03,5072.11,4946.51,4886.02,157.128,3.2159,28922800.0,43435000.0
000905.SH,2008-02-19,5133.36,5054.61,5137.84,5026.56,5043.14,90.217,1.7889,28823300.0,44280400.0
000905.SH,2008-02-20,5089.44,5152.28,5171.18,5079.77,5133.36,-43.922,-0.8556,31477200.0,47223500.0
000905.SH,2008-02-21,5153.6,5068.03,5184.15,5022.65,5089.44,64.162,1.2607,31554600.0,45714600.0
000905.SH,2008-02-22,5029.2,5140.12,5151.29,4938.73,5153.6,-124.403,-2.4139,31199200.0,44996800.0
000905.SH,2008-02-25,4869.65,5038.63,5068.98,4856.48,5029.2,-159.544,-3.1724,26735600.0,38441000.0
