Instrument,Date,Close,Open,High,Low,Change,Pct_Chg,Volume,AMount,Turnover_rate
000903.SH,2008-01-02,5591.81,5585.55,5617.33,5505.51,13.36,0.24,250694.0,5695290.0,1.45
000903.SH,2008-01-03,5604.79,5584.12,5605.95,5481.98,12.98,0.23,375929.0,8129000.0,2.18
000903.SH,2008-01-04,5669.37,5609.69,5686.57,5598.1,64.58,1.15,302933.0,7076690.0,1.75
000903.SH,2008-01-07,5736.07,5665.67,5750.02,5639.42,66.7,1.18,306387.0,7337790.0,1.76
000903.SH,2008-01-08,5743.83,5756.77,5844.15,5699.71,7.76,0.14,379232.0,9043260.0,2.18
000903.SH,2008-01-09,5812.11,5722.06,5813.73,5698.11,68.28,1.19,259250.0,6416200.0,1.48
000903.SH,2008-01-10,5867.32,5829.9,5898.95,5789.67,55.21,0.95,382453.0,8920430.0,2.18
000903.SH,2008-01-11,5914.4,5887.84,5916.24,5838.28,47.08,0.8,336319.0,7641680.0,1.92
000903.SH,2008-01-14,5934.45,5938.62,5965.73,5892.67,20.05,0.34,268994.0,6421020.0,1.53
000903.SH,2008-01-15,5872.37,5944.71,5947.7,5833.91,-62.08,-1.05,287434.0,7281030.0,1.64
000903.SH,2008-01-16,5643.75,5812.77,5812.77,5637.83,-228.62,-3.89,309322.0,7624240.0,1.76
000903.SH,2008-01-17,5503.61,5576.23,5666.24,5367.69,-140.14,-2.48,341460.0,8042300.0,1.95
000903.SH,2008-01-18,5537.51,5492.34,5550.66,5438.56,33.9,0.62,226889.0,5273500.0,1.29
000903.SH,2008-01-21,5249.88,5548.03,5559.31,5226.31,-287.63,-5.19,249817.0,5705630.0,1.42
000903.SH,2008-01-22,4862.86,5120.69,5142.5,4805.41,-387.02,-7.37,357225.0,7744400.0,2.04
000903.SH,2008-01-23,5072.35,4904.93,5074.59,4860.62,209.49,4.31,310702.0,6332280.0,1.77
000903.SH,2008-01-24,5098.11,5139.23,5153.46,4998.14,25.76,0.51,294370.0,6228880.0,1.68
000903.SH,2008-01-25,5159.26,5089.9,5207.32,5009.56,61.15,1.2,248406.0,5599540.0,1.41
000903.SH,2008-01-28,4799.57,5109.77,5109.77,4782.77,-359.69,-6.97,221730.0,4591950.0,1.26
000903.SH,2008-01-29,4816.82,4811.46,4913.68,4743.86,17.25,0.36,151017.0,3300100.0,0.86
