Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Ind_class
688981.SH,2020-07-16,95.0,82.92,95.0,80.0,27.46,55.46,201.967,5521040.0,47967200.0,53.0751,53.0751,,329.894,293.874,6.3129,26.876,24.8693,,,713642.0,104023.0,104023.0,59175200.0,8625600.0,1.0,半导体
688981.SH,2020-07-17,79.0,77.06,84.9,75.0,82.92,-5.86,-7.0671,2194720.0,17388100.0,21.0983,21.0983,,306.58,273.106,5.8667,24.9766,23.1118,,,713642.0,104023.0,104023.0,54993300.0,8016020.0,1.0,半导体
688981.SH,2020-07-20,77.19,79.17,80.51,70.02,77.06,2.11,2.7381,2285830.0,17005200.0,21.9743,21.9743,,327.291,291.556,6.263,26.6639,24.6731,,,741548.0,104023.0,104023.0,58708300.0,8235510.0,1.0,半导体
688981.SH,2020-07-21,78.3,78.63,82.89,77.77,79.17,-0.54,-0.6821,1618730.0,12977700.0,15.5613,15.5613,,325.059,289.567,6.2203,26.4821,24.5048,,,741548.0,104023.0,104023.0,58307900.0,8179340.0,1.0,半导体
688981.SH,2020-07-22,77.8,79.57,81.78,77.2,78.63,0.94,1.1955,1339430.0,10682500.0,12.8763,12.8763,,328.945,293.029,6.2947,26.7986,24.7978,,,741548.0,104023.0,104023.0,59004900.0,8277120.0,1.0,半导体
688981.SH,2020-07-23,78.01,78.78,79.72,75.85,79.57,-0.79,-0.9928,1229370.0,9546580.0,11.8182,11.8182,0.47,325.679,290.119,6.2322,26.5326,24.5516,,,741548.0,104023.0,104023.0,58419100.0,8194940.0,1.0,半导体
688981.SH,2020-07-24,77.5,71.95,78.12,71.52,78.78,-6.83,-8.6697,1301680.0,9696540.0,12.5134,12.5134,0.75,297.444,264.967,5.6919,24.2323,22.423,,,741548.0,104023.0,104023.0,53354300.0,7484460.0,1.0,半导体
688981.SH,2020-07-27,72.67,70.82,73.81,70.02,71.95,-1.13,-1.5705,791106.0,5664810.0,7.6051,7.6051,0.51,292.772,260.805,5.6025,23.8517,22.0709,,,741548.0,104023.0,104023.0,52516400.0,7366920.0,1.0,半导体
688981.SH,2020-07-28,72.82,72.56,75.16,72.03,70.82,1.74,2.4569,810406.0,5953460.0,7.7906,7.7906,0.65,299.965,267.213,5.7401,24.4377,22.6131,,,741548.0,104023.0,104023.0,53806700.0,7547920.0,1.0,半导体
688981.SH,2020-07-29,71.9,75.07,75.2,71.6,72.56,2.51,3.4592,868858.0,6433710.0,8.3525,8.3525,0.79,310.342,276.457,5.9387,25.2831,23.3954,,,741548.0,104023.0,104023.0,55668000.0,7809020.0,1.0,半导体
688981.SH,2020-07-30,75.27,75.69,76.39,73.2,75.07,0.62,0.8259,994266.0,7438280.0,9.5581,9.5581,0.99,312.905,278.74,5.9877,25.4919,23.5886,,,741548.0,104023.0,104023.0,56127700.0,7873510.0,1.0,半导体
688981.SH,2020-07-31,74.9,82.21,84.99,74.81,75.69,6.52,8.6141,1572510.0,12432800.0,15.1169,15.1169,1.65,339.859,302.751,6.5035,27.6878,25.6205,,,741548.0,104023.0,104023.0,60962600.0,8551740.0,1.0,半导体
688981.SH,2020-08-03,85.4,84.0,87.88,83.77,82.21,1.79,2.1774,1433260.0,12270900.0,13.7783,13.7783,1.42,347.259,309.343,6.6451,28.2906,26.1784,,,741548.0,104023.0,104023.0,62290000.0,8737940.0,1.0,半导体
688981.SH,2020-08-04,84.3,81.08,84.49,80.2,84.0,-2.92,-3.4762,855063.0,6998690.0,8.2199,8.2199,0.75,335.187,298.59,6.4141,27.3072,25.2684,,,741548.0,104023.0,104023.0,60124700.0,8434200.0,1.0,半导体
688981.SH,2020-08-05,87.0,83.0,87.0,82.58,81.08,1.92,2.368,1172420.0,9904640.0,11.2707,11.2707,1.02,343.125,305.66,6.566,27.9538,25.8667,,,741548.0,104023.0,104023.0,61548400.0,8633920.0,1.0,半导体
688981.SH,2020-08-06,82.0,84.82,85.88,81.11,83.0,1.82,2.1928,1012040.0,8489470.0,9.729,9.729,0.84,350.648,312.363,6.71,28.5668,26.4339,,,741548.0,104023.0,104023.0,62898100.0,8823240.0,1.0,半导体
688981.SH,2020-08-07,83.3,80.47,83.3,78.92,84.82,-4.35,-5.1285,1118270.0,9061990.0,10.7503,10.7503,0.92,332.665,296.343,6.3659,27.1018,25.0783,,,741548.0,104023.0,104023.0,59672300.0,8370740.0,1.0,半导体
688981.SH,2020-08-10,78.32,77.89,79.65,76.86,80.47,-2.58,-3.2062,723054.0,5639740.0,6.9509,6.9509,0.65,322.0,286.842,6.1618,26.2328,24.2742,,,741548.0,104023.0,104023.0,57759100.0,8102360.0,1.0,半导体
688981.SH,2020-08-11,77.8,76.4,78.8,76.33,77.89,-1.49,-1.913,544648.0,4223040.0,5.2358,5.2358,0.56,315.84,281.355,6.0439,25.731,23.8098,,,741548.0,104023.0,104023.0,56654200.0,7947370.0,1.0,半导体
688981.SH,2020-08-12,76.33,75.23,76.92,73.78,76.4,-1.17,-1.5314,554111.0,4144760.0,5.3268,5.3268,0.61,311.003,277.046,5.9514,25.337,23.4452,,,741548.0,104023.0,104023.0,55786600.0,7825660.0,1.0,半导体
688981.SH,2020-08-13,75.81,75.18,76.66,74.86,75.23,-0.05,-0.0665,378662.0,2870500.0,3.6402,3.6402,0.48,310.796,276.862,5.9474,25.3201,23.4296,,,741548.0,104023.0,104023.0,55749500.0,7820460.0,1.0,半导体
688981.SH,2020-08-14,75.0,75.55,75.77,74.45,75.18,0.37,0.4922,299919.0,2253490.0,2.8832,2.8832,0.45,312.326,278.224,5.9767,25.4447,23.5449,,,741548.0,104023.0,104023.0,56023900.0,7858950.0,1.0,半导体
688981.SH,2020-08-17,75.0,76.02,76.45,74.0,75.55,0.47,0.6221,571346.0,4296280.0,5.4925,5.4925,1.14,314.269,279.955,6.0139,25.603,23.6914,,,741548.0,104023.0,104023.0,56372400.0,7907840.0,1.0,半导体
688981.SH,2020-08-18,76.18,74.28,76.18,74.09,76.02,-1.74,-2.2889,605517.0,4516830.0,5.821,5.821,1.29,307.076,273.547,5.8762,25.017,23.1492,,,741548.0,104023.0,104023.0,55082200.0,7726840.0,1.0,半导体
688981.SH,2020-08-19,74.0,71.84,74.0,71.77,74.28,-2.44,-3.2849,609653.0,4419000.0,5.8607,5.8607,1.27,296.989,264.562,5.6832,24.1952,22.3887,,,741548.0,104023.0,104023.0,53272800.0,7473020.0,1.0,半导体
688981.SH,2020-08-20,71.2,72.1,73.09,70.86,71.84,0.26,0.3619,343108.0,2482310.0,3.2984,3.2984,0.7,298.064,265.519,5.7037,24.2828,22.4698,,,741548.0,104023.0,104023.0,53465600.0,7500070.0,1.0,半导体
688981.SH,2020-08-21,72.71,71.87,72.93,71.5,72.1,-0.23,-0.319,255002.0,1838550.0,2.4514,2.4514,0.52,297.113,264.672,5.6856,24.2053,22.3981,,,741548.0,104023.0,104023.0,53295000.0,7476140.0,1.0,半导体
688981.SH,2020-08-24,72.0,72.0,72.85,70.72,71.87,0.13,0.1809,356383.0,2556130.0,3.426,3.426,0.75,297.65,265.151,5.6958,24.2491,22.4386,,,741548.0,104023.0,104023.0,53391400.0,7489660.0,1.0,半导体
688981.SH,2020-08-25,72.29,70.82,72.8,70.8,72.0,-1.18,-1.6389,351481.0,2513310.0,3.3789,3.3789,0.81,303.742,270.578,5.8124,24.7454,22.8978,,,769332.0,104023.0,104023.0,54484100.0,7366920.0,1.0,半导体
688981.SH,2020-08-26,70.69,66.26,71.45,65.51,70.82,-4.56,-6.4389,837036.0,5705030.0,8.0466,8.0466,2.18,284.184,253.155,5.4382,23.1521,21.4235,,,769332.0,104023.0,104023.0,50976000.0,6892570.0,1.0,半导体
688981.SH,2020-08-27,65.89,67.23,68.6,63.89,66.26,0.97,1.4639,629411.0,4164490.0,6.0507,6.0507,1.47,288.345,256.862,5.5178,23.491,21.7371,,,769332.0,104023.0,104023.0,51722200.0,6993470.0,1.0,半导体
688981.SH,2020-08-28,67.8,66.78,68.19,66.21,67.23,-0.45,-0.6693,413417.0,2766300.0,3.9743,3.9743,0.85,286.415,179.786,5.4808,23.3338,20.5447,,,769332.0,104023.0,104023.0,51376000.0,6946660.0,1.0,半导体
688981.SH,2020-08-31,66.9,66.68,67.8,66.67,66.78,-0.1,-0.1497,325630.0,2183770.0,3.1304,3.1304,0.63,286.055,179.56,5.1362,23.3045,20.5189,,,769519.0,104023.0,104023.0,51311500.0,6936260.0,1.0,半导体
688981.SH,2020-09-01,66.3,65.35,66.47,65.01,66.68,-1.33,-1.9946,324094.0,2123800.0,3.1156,3.1156,0.63,280.349,175.979,5.0338,22.8397,20.1096,,,769519.0,104023.0,104023.0,50288100.0,6797910.0,1.0,半导体
688981.SH,2020-09-02,65.5,64.17,65.54,64.02,65.35,-1.18,-1.8057,369393.0,2383390.0,3.5511,3.5511,0.73,275.29,172.803,4.9429,22.4274,19.7467,,,769526.0,104023.0,104023.0,49380500.0,6675160.0,1.0,半导体
688981.SH,2020-09-03,64.19,65.08,65.48,63.03,64.17,0.91,1.4181,554351.0,3565230.0,5.3291,5.3291,1.34,279.194,175.253,5.013,22.7455,20.0267,,,769526.0,104023.0,104023.0,50080700.0,6769820.0,1.0,半导体
