Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Ind_class
002811.SZ,2024-01-02,9.9,10.14,10.18,9.9,9.85,0.29,2.9442,39203.6,39447.4,1.586,4.459,2.07,,,2.5037,2.5165,2.414,0.0,,27204.3,24719.0,8792.06,275852.0,250651.0,1.755,装修装饰
002811.SZ,2024-01-03,10.13,9.78,10.25,9.7,10.14,-0.36,-3.5503,41062.5,40494.8,1.6612,4.6704,1.78,,,2.4148,2.4272,2.3283,0.0,,27204.4,24719.1,8792.06,266059.0,241753.0,1.755,装修装饰
002811.SZ,2024-01-04,9.88,9.9,9.93,9.77,9.78,0.12,1.227,29510.1,29090.1,1.1938,3.3564,1.06,,,2.4444,2.457,2.3569,0.0,,27204.4,24719.1,8792.16,269324.0,244719.0,1.755,装修装饰
002811.SZ,2024-01-05,9.89,9.77,9.96,9.72,9.9,-0.13,-1.3131,21264.5,20941.8,0.8602,2.4186,0.68,,,2.4124,2.4247,2.3259,0.0,,27204.4,24719.1,8792.16,265787.0,241506.0,1.755,装修装饰
002811.SZ,2024-01-08,9.87,9.67,9.89,9.65,9.77,-0.1,-1.0235,24708.0,24115.8,0.9996,2.8102,0.8,,,2.3877,2.3999,2.3021,0.0,,27204.4,24719.1,8792.16,263067.0,239034.0,1.755,装修装饰
002811.SZ,2024-01-09,9.66,9.81,9.86,9.61,9.67,0.14,1.4478,25249.5,24647.7,1.0215,2.8718,0.81,,,2.4222,2.4346,2.3355,0.0,,27204.4,24719.1,8792.16,266875.0,242494.0,1.755,装修装饰
002811.SZ,2024-01-10,9.8,9.55,9.82,9.5,9.81,-0.26,-2.6504,26902.5,25906.2,1.0883,3.0598,0.95,,,2.358,2.3701,2.2736,0.0,,27204.4,24719.1,8792.16,259802.0,236067.0,1.755,装修装饰
002811.SZ,2024-01-11,9.55,9.72,9.87,9.54,9.55,0.17,1.7801,24296.5,23488.0,0.9829,2.7634,0.95,,,2.4,2.4123,2.314,0.0,,27204.4,24719.1,8792.16,264427.0,240270.0,1.755,装修装饰
002811.SZ,2024-01-12,9.74,9.7,9.92,9.69,9.72,-0.02,-0.2058,22370.0,21948.6,0.905,2.5443,0.91,,,2.3951,2.4073,2.3093,0.0,,27204.4,24719.1,8792.16,263883.0,239775.0,1.755,装修装饰
002811.SZ,2024-01-15,9.68,9.81,9.86,9.59,9.7,0.11,1.134,21526.0,21017.7,0.8708,2.4483,0.87,,,2.4222,2.4346,2.3355,0.0,,27204.4,24719.1,8792.16,266875.0,242494.0,1.755,装修装饰
002811.SZ,2024-01-16,9.78,9.85,9.95,9.75,9.81,0.04,0.4077,25406.0,25040.2,1.0278,2.8896,1.06,,,2.4321,2.4445,2.345,0.0,,27204.4,24719.1,8792.16,267964.0,243483.0,1.755,装修装饰
002811.SZ,2024-01-17,9.85,9.5,9.9,9.5,9.85,-0.35,-3.5533,26453.0,25619.6,1.0701,3.0087,1.1,,,2.3457,2.3577,2.2617,0.0,,27204.4,24719.1,8792.16,258442.0,234831.0,1.755,装修装饰
002811.SZ,2024-01-18,9.51,9.45,9.64,9.14,9.5,-0.05,-0.5263,37715.0,35209.8,1.5257,4.2896,1.57,,,2.3333,2.3453,2.2497,0.0,,27204.4,24719.1,8792.16,257082.0,233595.0,1.755,装修装饰
002811.SZ,2024-01-19,9.47,9.25,9.49,9.22,9.45,-0.2,-2.1164,23994.0,22380.1,0.9707,2.729,0.9,,,2.284,2.2956,2.2021,0.0,,27204.4,24719.1,8792.16,251641.0,228652.0,1.755,装修装饰
002811.SZ,2024-01-22,9.26,8.57,9.26,8.57,9.25,-0.68,-7.3514,37059.5,33100.7,1.4992,4.2151,1.37,,,2.1161,2.1269,2.0402,0.0,,27204.4,24719.1,8792.16,233142.0,211843.0,1.755,装修装饰
002811.SZ,2024-01-23,8.61,8.4,8.69,8.25,8.57,-0.17,-1.9837,37124.0,31123.7,1.5018,4.2224,1.23,,,2.0741,2.0847,1.9998,0.0,,27204.4,24719.1,8792.16,228517.0,207640.0,1.755,装修装饰
002811.SZ,2024-01-24,8.43,8.72,8.76,8.33,8.4,0.32,3.8095,39001.5,33414.1,1.5778,4.4359,1.2,,,2.1531,2.1641,2.076,0.0,,27204.4,24719.1,8792.16,237223.0,215550.0,1.755,装修装饰
002811.SZ,2024-01-25,8.84,9.36,9.36,8.77,8.72,0.64,7.3394,34441.5,31229.7,1.3933,3.9173,0.98,,,2.3111,2.3229,2.2283,0.0,,27204.4,24719.1,8792.16,254633.0,231371.0,1.755,装修装饰
