Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Vwap,Intra_tail_ratio,Intra_returns_skewness,Intra_returns_kurtosis,Intra_price_vol_corr,Intra_downside_ratio,Up_limit,Down_limit,Mfd_buyord,Mfd_sellord,Mfd_volinflowrate,Mkt_class,Ind_class_l1,Ind_class_l2,List_date
600418.SH,2008-06-20,3.89,3.97,4.08,3.75,3.9,0.07,1.79,72954.8,28804.9,0.8282,1.0566,1.52,15.5767,18.1454,1.2705,0.3584,0.3324,3.1486,5.1637,128874.0,88086.8,69046.4,511628.0,349705.0,5.422,3.94833,0.231156,0.494445,0.288528,-0.0496262,0.371474,4.29,3.51,9196,,,1,23,89,2001-08-24
600418.SH,2008-06-23,3.9,3.95,4.05,3.82,3.97,-0.02,-0.5,29943.7,11806.2,0.3399,0.4337,0.61,15.4982,18.054,1.2641,0.3566,0.3308,3.1646,5.1899,128874.0,88086.8,69046.4,509051.0,347943.0,5.422,3.9428,0.252738,0.732771,2.85529,-0.223505,0.387668,4.37,3.57,1468,,,1,23,89,2001-08-24
600418.SH,2008-06-24,3.9,4.1,4.12,3.9,3.95,0.15,3.8,44983.8,18161.6,0.5107,0.6515,0.94,16.0868,18.7396,1.3121,0.3702,0.3433,3.0488,5.0,128874.0,88086.8,69046.4,528382.0,361156.0,5.422,4.03738,0.409657,0.0470125,-0.07594,0.562905,0.339474,4.35,3.56,14911,,,1,23,89,2001-08-24
600418.SH,2008-06-25,4.1,4.26,4.28,4.05,4.1,0.16,3.9,72217.4,30298.4,0.8198,1.0459,1.43,16.7145,19.4709,1.3633,0.3846,0.3567,2.9343,4.8122,128874.0,88086.8,69046.4,549002.0,375250.0,5.422,4.19544,0.240982,-0.090215,-0.185862,0.699276,0.380084,4.51,3.69,8401,,,1,23,89,2001-08-24
600418.SH,2008-06-26,4.26,4.21,4.3,4.15,4.26,-0.05,-1.17,53941.6,22806.6,0.6124,0.7812,1.0,16.5184,19.2424,1.3473,0.3801,0.3525,2.9691,4.8694,128874.0,88086.8,69046.4,542558.0,370846.0,5.422,4.22801,0.18848,-0.684897,1.23215,0.443182,0.624411,4.69,3.83,5170,,,1,23,89,2001-08-24
600418.SH,2008-06-27,4.08,3.89,4.09,3.85,4.21,-0.32,-7.6,56785.6,22525.1,0.6447,0.8224,1.04,15.2628,17.7798,1.2449,0.3512,0.3257,3.2134,5.2699,128874.0,88086.8,69046.4,501319.0,342658.0,5.422,3.9667,0.176012,0.134567,0.306865,0.119252,0.647529,4.63,3.79,679,,,1,23,89,2001-08-24
600418.SH,2008-06-30,3.88,3.99,4.01,3.83,3.89,0.1,2.57,33619.2,13150.6,0.3817,0.4869,0.65,15.6552,18.2369,1.2769,0.3602,0.3341,3.1328,5.1378,128874.0,88086.8,69046.4,514206.0,351466.0,5.422,3.91165,0.390345,-0.470703,0.211001,0.299963,0.546083,4.28,3.5,5213,,,1,23,89,2001-08-24
600418.SH,2008-07-01,3.99,3.87,3.99,3.85,3.99,-0.12,-3.01,21990.2,8568.0,0.2496,0.3185,0.42,15.1843,17.6884,1.2385,0.3494,0.3241,3.23,5.2972,128874.0,88086.8,69046.4,498741.0,340896.0,5.422,3.89628,0.281492,0.748615,2.67039,-0.0338639,0.523946,4.39,3.59,0,,,1,23,89,2001-08-24
600418.SH,2008-07-02,3.91,3.95,3.96,3.86,3.87,0.08,2.07,21547.4,8441.11,0.2446,0.3121,0.45,15.4982,18.054,1.2641,0.3566,0.3308,3.1646,5.1899,128874.0,88086.8,69046.4,509051.0,347943.0,5.422,3.91746,0.273959,0.517033,1.00539,0.196962,0.34111,4.26,3.48,2340,,,1,23,89,2001-08-24
600418.SH,2008-07-03,3.87,4.07,4.09,3.84,3.95,0.12,3.04,54234.2,21759.8,0.6157,0.7855,1.44,15.9691,18.6025,1.3025,0.3675,0.3408,3.0713,5.0369,128874.0,88086.8,69046.4,524516.0,358513.0,5.422,4.01219,0.276782,1.49757,4.80947,0.468519,0.223572,4.35,3.56,6639,,,1,23,89,2001-08-24
600418.SH,2008-07-04,4.05,4.09,4.11,3.96,4.07,0.02,0.49,50132.1,20275.0,0.5691,0.7261,1.33,16.0475,18.6939,1.3089,0.3693,0.3425,3.0562,5.0122,128874.0,88086.8,69046.4,527093.0,360275.0,5.422,4.04432,0.450949,-0.361055,1.72895,0.34901,0.509485,4.48,3.66,9488,,,1,23,89,2001-08-24
600418.SH,2008-07-07,4.07,4.24,4.26,4.05,4.09,0.15,3.67,85250.6,35776.2,0.9678,1.2347,2.35,16.6361,19.3795,1.3569,0.3828,0.355,2.9481,1.8868,128874.0,88086.8,69046.4,546424.0,373488.0,5.422,4.19659,0.159651,0.0204319,-0.0269174,0.27465,0.354098,4.5,3.68,19324,,,1,23,89,2001-08-24
600418.SH,2008-07-08,4.25,4.2,4.3,4.13,4.24,-0.04,-0.94,67053.9,28237.8,0.7612,0.9711,1.44,16.4791,19.1967,1.3441,0.3792,0.3517,2.9762,1.9048,128874.0,88086.8,69046.4,541269.0,369965.0,5.422,4.2112,0.253259,1.14286,1.1834,0.405224,0.367717,4.66,3.82,10022,10297,-0.01059916402170349,1,23,89,2001-08-24
600418.SH,2008-07-09,4.25,4.33,4.38,4.25,4.2,0.13,3.1,91805.6,39598.6,1.0422,1.3296,1.65,16.9892,19.7909,1.3857,0.3909,0.3626,2.8868,1.8476,128874.0,88086.8,69046.4,558023.0,381416.0,5.422,4.31331,0.218374,-0.598245,1.02844,0.494539,0.517252,4.62,3.78,16658,,,1,23,89,2001-08-24
600418.SH,2008-07-10,4.28,4.22,4.33,4.21,4.33,-0.11,-2.54,95813.1,40869.3,1.0877,1.3877,1.37,16.5576,19.2881,1.3505,0.381,0.3534,2.9621,1.8957,128874.0,88086.8,69046.4,543847.0,371726.0,5.422,4.26552,0.157891,0.284205,-0.503993,-0.100684,0.500384,4.76,3.9,8645,,,1,23,89,2001-08-24
600418.SH,2008-07-11,4.24,4.14,4.26,4.09,4.22,-0.08,-1.9,49503.4,20544.3,0.562,0.717,0.63,16.2437,18.9225,1.3249,0.3738,0.3467,3.0193,1.9324,128874.0,88086.8,69046.4,533537.0,364680.0,5.422,4.15008,0.212977,1.04869,1.58839,-0.106191,0.438604,4.64,3.8,85,4523,-0.9631959726203466,1,23,89,2001-08-24
600418.SH,2008-07-14,4.12,4.22,4.23,4.05,4.14,0.08,1.93,58757.2,24298.0,0.667,0.851,0.75,16.5576,19.2881,1.3505,0.381,0.3534,2.9621,1.8957,128874.0,88086.8,69046.4,543847.0,371726.0,5.422,4.13532,0.329867,0.41036,-0.130208,0.266646,0.334179,4.55,3.73,9273,,,1,23,89,2001-08-24
600418.SH,2008-07-15,4.26,4.08,4.27,4.07,4.22,-0.14,-3.32,58611.8,24414.2,0.6654,0.8489,0.81,16.0083,18.6482,1.3057,0.3684,0.3416,3.0637,1.9608,128874.0,88086.8,69046.4,525805.0,359394.0,5.422,4.1654,0.143674,0.45091,-0.0150355,0.2886,0.602273,4.64,3.8,2578,,,1,23,89,2001-08-24
600418.SH,2008-07-16,4.05,3.94,4.08,3.88,4.08,-0.14,-3.43,55425.2,22106.7,0.6292,0.8027,0.78,15.459,18.0083,1.2609,0.3557,0.3299,3.1726,2.0305,128874.0,88086.8,69046.4,507762.0,347062.0,5.422,3.98855,0.139774,-0.101667,2.38894,-0.256168,0.641202,4.49,3.67,6673,,,1,23,89,2001-08-24
