Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,160.169998,163.289993,158.229996,162.289993,162.289993,23769400
2021-08-31,167.699997,169.000000,166.139999,166.990005,166.990005,24629100
2021-09-01,169.559998,174.789993,169.330002,173.279999,173.279999,29550200
2021-09-02,178.009995,178.179993,171.669998,172.000000,172.000000,29302400
2021-09-03,169.524994,172.059998,168.880005,170.300003,170.300003,16423500
2021-09-07,174.149994,176.839996,173.369995,175.160004,175.160004,24608500
2021-09-08,174.250000,174.369995,169.259995,170.710007,170.710007,18993000
2021-09-09,167.300003,169.039993,165.580002,167.320007,167.320007,17295800
2021-09-10,171.199997,171.639999,167.610001,168.100006,168.100006,15064300
2021-09-13,164.490005,166.862000,163.020004,165.410004,165.410004,15458600
2021-09-14,162.860001,163.069000,159.479996,160.149994,160.149994,20925900
2021-09-15,157.949997,158.029999,153.919998,157.860001,157.860001,31796600
2021-09-16,154.919998,157.639008,153.669998,156.259995,156.259995,24358900
2021-09-17,158.479996,160.380005,158.089996,160.050003,160.050003,25489000
2021-09-20,154.399994,155.139999,149.089996,151.490005,151.490005,36177500
2021-09-21,151.580002,152.580002,149.570999,150.179993,150.179993,19494700
2021-09-22,151.470001,154.000000,151.020004,151.889999,151.889999,19832000
2021-09-23,152.580002,152.679993,149.610001,151.190002,151.190002,24707500
2021-09-24,147.710007,148.000000,144.570007,145.080002,145.080002,32067400
2021-09-27,144.919998,150.990005,144.440002,150.179993,150.179993,24287400
2021-09-28,152.160004,153.729996,148.860001,152.389999,152.389999,26299600
2021-09-29,150.460007,152.100006,147.479996,147.580002,147.580002,17361300
2021-09-30,147.029999,149.580002,146.863998,148.050003,148.050003,14291500
2021-10-01,147.089996,148.449997,143.339996,144.199997,144.199997,20211000
2021-10-04,141.699997,141.899994,138.429993,139.630005,139.630005,25218500
2021-10-05,139.380005,143.830002,139.190002,143.139999,143.139999,14032100
2021-10-06,140.559998,144.891998,139.960007,144.100006,144.100006,14875900
2021-10-07,151.050003,158.289993,150.750000,156.000000,156.000000,46035900
2021-10-08,159.860001,162.779999,157.910004,161.520004,161.520004,33499200
2021-10-11,169.610001,169.800003,163.949997,163.949997,163.949997,42193600
2021-10-12,163.824997,165.729996,162.240005,163.000000,163.000000,24512700
2021-10-13,164.380005,168.264999,163.600006,167.399994,167.399994,18595000
2021-10-14,168.259995,168.990005,164.460007,166.779999,166.779999,17403700
2021-10-15,166.990005,169.800003,165.434998,168.000000,168.000000,20762800
2021-10-18,166.580002,169.250000,166.580002,166.820007,166.820007,18945900
2021-10-19,170.600006,177.440002,170.449997,177.000000,177.000000,33538900
2021-10-20,180.949997,182.089996,176.130005,177.179993,177.179993,33714400
2021-10-21,177.000000,179.779999,176.710007,177.419998,177.419998,16444000
2021-10-22,179.080002,182.089996,175.809998,177.699997,177.699997,20807300
2021-10-25,177.860001,178.279999,173.830002,176.169998,176.169998,13119700
2021-10-26,174.479996,174.899994,167.479996,169.990005,169.990005,17577000
2021-10-27,167.529999,172.449997,167.339996,169.229996,169.229996,11801800
2021-10-28,168.490005,170.350006,166.770004,169.789993,169.789993,12440100
2021-10-29,167.070007,168.559998,162.720001,164.940002,164.940002,17155400
2021-11-01,165.839996,171.895004,165.800003,170.169998,170.169998,17609500
2021-11-02,167.100006,167.100006,162.759995,162.899994,162.899994,19072900
2021-11-03,165.360001,166.649994,163.110001,166.240005,166.240005,13569700
2021-11-04,169.279999,169.940002,164.500000,164.789993,164.789993,16669200
2021-11-05,164.794998,164.794998,158.300003,158.729996,158.729996,22098200
2021-11-08,161.764999,162.160004,159.479996,162.160004,162.160004,16223100
2021-11-09,162.160004,164.479996,159.539993,160.190002,160.190002,14010100
2021-11-10,163.679993,166.479996,161.820007,163.970001,163.970001,17216800
2021-11-11,166.559998,169.630005,166.559998,167.850006,167.850006,16747500
2021-11-12,165.173996,167.800003,163.399994,166.809998,166.809998,13741800
2021-11-15,167.220001,168.460007,165.669998,166.539993,166.539993,9655700
2021-11-16,168.600006,169.940002,166.669998,168.429993,168.429993,11887500
2021-11-17,168.020004,168.300003,161.134995,161.580002,161.580002,18829500
2021-11-18,146.910004,148.500000,141.889999,143.600006,143.600006,61571500
2021-11-19,143.039993,145.059998,140.000000,140.339996,140.339996,28575700
2021-11-22,139.899994,140.699997,135.210007,136.619995,136.619995,26390400
2021-11-23,136.031998,136.850006,133.309998,133.660004,133.660004,24102900
2021-11-24,133.100006,136.759995,131.220001,136.520004,136.520004,20010400
2021-11-26,132.929993,133.979996,131.220001,133.350006,133.350006,14814900
2021-11-29,134.250000,134.550003,130.550003,131.610001,131.610001,18648900
2021-11-30,129.901001,131.320007,126.129997,127.529999,127.529999,32625400
2021-12-01,128.369995,129.154999,121.900002,122.489998,122.489998,29203800
2021-12-02,123.019997,125.000000,119.339996,122.000000,122.000000,34478600
2021-12-03,118.000000,118.190002,108.699997,111.959999,111.959999,70266500
2021-12-06,113.639999,123.820000,113.430000,123.599998,123.599998,43111400
2021-12-07,129.300003,129.449997,123.459999,125.540001,125.540001,38542800
2021-12-08,123.209999,126.970001,121.320000,125.080002,125.080002,22275000
2021-12-09,124.629997,127.760002,123.211998,123.910004,123.910004,23499300
2021-12-10,123.220001,125.209999,122.779999,125.059998,125.059998,15008300
2021-12-13,123.000000,123.250000,119.750000,122.239998,122.239998,15820500
2021-12-14,120.930000,127.650002,120.300003,126.580002,126.580002,17691500
2021-12-15,122.629997,123.589996,117.769997,122.470001,122.470001,24893500
2021-12-16,122.320000,125.690002,118.900002,120.250000,120.250000,22533400
2021-12-17,119.489998,122.870003,117.809998,122.099998,122.099998,19781100
2021-12-20,118.500000,118.830002,113.695000,115.000000,115.000000,23970500
2021-12-21,116.849998,122.980003,116.599998,122.980003,122.980003,18036300
2021-12-22,117.089996,118.660004,115.150002,117.809998,117.809998,24502000
2021-12-23,116.800003,119.589996,115.389999,118.660004,118.660004,17563300
2021-12-27,117.800003,121.800003,116.101997,116.589996,116.589996,17864400
2021-12-28,116.260002,116.419998,114.470001,114.800003,114.800003,17052100
2021-12-29,113.800003,114.199997,110.379997,112.089996,112.089996,21100500
2021-12-30,112.629997,124.300003,112.300003,122.989998,122.989998,45437100
2021-12-31,121.230003,122.910004,118.589996,118.790001,118.790001,24287000
2022-01-03,119.379997,121.949997,115.820000,120.379997,120.379997,16775300
2022-01-04,119.529999,120.870003,115.769997,119.559998,119.559998,20824000
2022-01-05,118.000000,126.620003,117.699997,121.160004,121.160004,36651100
2022-01-06,124.260002,128.399994,123.464996,126.629997,126.629997,32045800
2022-01-07,130.240005,133.880005,128.179993,129.809998,129.809998,38113000
2022-01-10,131.990005,132.600006,126.230003,128.300003,128.300003,23372200
2022-01-11,129.210007,134.229996,127.470001,132.190002,132.190002,23616400
2022-01-12,136.020004,138.699997,135.585007,137.410004,137.410004,25961100
2022-01-13,135.199997,135.919998,131.300003,131.369995,131.369995,19887700
2022-01-14,132.809998,134.360001,129.350006,131.570007,131.570007,18614900
2022-01-18,126.269997,132.130005,124.820000,128.600006,128.600006,26122200
2022-01-19,128.100006,130.860001,127.129997,127.739998,127.739998,14665200
2022-01-20,135.770004,136.750000,130.679993,131.029999,131.029999,28966400
2022-01-21,128.229996,128.960007,122.521004,123.230003,123.230003,26341400
2022-01-24,119.320000,120.779999,115.320000,120.370003,120.370003,28509300
2022-01-25,119.910004,122.459999,118.040001,119.139999,119.139999,22224100
2022-01-26,120.930000,120.930000,112.961998,113.370003,113.370003,27513200
2022-01-27,113.110001,114.540001,110.269997,111.790001,111.790001,21472700
2022-01-28,113.250000,115.320000,110.059998,115.230003,115.230003,18892400
2022-01-31,118.169998,125.870003,117.500000,125.790001,125.790001,20346500
2022-02-01,124.809998,128.000000,122.970001,127.220001,127.220001,15036100
2022-02-02,127.629997,127.629997,121.169998,122.879997,122.879997,14050100
2022-02-03,121.550003,125.269997,120.730003,123.470001,123.470001,16651500
2022-02-04,121.269997,123.940002,119.660004,122.220001,122.220001,13538200
2022-02-07,116.099998,116.550003,113.599998,114.820000,114.820000,28589200
2022-02-08,118.160004,122.239998,116.800003,121.900002,121.900002,22340500
2022-02-09,123.089996,126.800003,121.940002,126.500000,126.500000,18253600
2022-02-10,124.110001,128.339996,123.400002,123.980003,123.980003,16116600
2022-02-11,125.334999,126.720001,121.940002,122.250000,122.250000,13889900
2022-02-14,120.559998,122.384003,119.370003,121.919998,121.919998,13154900
2022-02-15,123.769997,126.805000,123.377998,126.239998,126.239998,14634700
2022-02-16,125.610001,127.580002,124.510002,125.559998,125.559998,17993300
2022-02-17,125.000000,129.399994,124.056000,124.430000,124.430000,15906000
2022-02-18,120.879997,120.879997,117.199997,118.989998,118.989998,21201400
2022-02-22,114.000000,114.849998,112.059998,112.930000,112.930000,21755100
2022-02-23,115.099998,115.400002,109.599998,109.720001,109.720001,24489200
2022-02-24,100.073997,108.949997,100.019997,108.930000,108.930000,35294700
2022-02-25,107.889999,108.550003,104.000000,107.940002,107.940002,21428400
2022-02-28,105.970001,107.489998,103.639999,105.190002,105.190002,23063500
