Symbol,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Ind_class
688366.SH,2019-10-30,149.3,130.7,149.3,125.01,89.23,41.47,46.4754,111583.0,1504860.0,76.102,76.102,,56.0727,60.1351,4.4163,14.915,14.3968,,,17784.5,1466.22,1466.22,2324440.0,191635.0,1.0,9
688366.SH,2019-10-31,119.96,100.6,119.96,100.1,130.7,-30.1,-23.0298,64169.5,685899.0,43.7651,43.7651,,43.1592,46.2861,3.3993,11.4801,11.0812,,,17784.5,1466.22,1466.22,1789120.0,147502.0,1.0,9
688366.SH,2019-11-01,97.0,99.09,100.8,96.0,100.6,-1.51,-1.501,36625.3,358190.0,24.9793,24.9793,,42.5114,45.5913,3.3104,11.3078,10.9149,,,17784.5,1466.22,1466.22,1762270.0,145288.0,1.0,9
688366.SH,2019-11-04,98.08,97.28,101.38,97.13,99.09,-1.81,-1.8266,20676.0,204474.0,14.1015,14.1015,,41.7349,44.7586,3.2499,11.1013,10.7155,,,17784.5,1466.22,1466.22,1730080.0,142634.0,1.0,9
688366.SH,2019-11-05,96.0,89.86,96.0,89.51,97.28,-7.42,-7.6275,34429.6,314876.0,23.4818,23.4818,,38.5516,41.3446,3.002,10.2545,9.8982,,,17784.5,1466.22,1466.22,1598120.0,131755.0,1.0,9
688366.SH,2019-11-06,88.53,89.85,92.74,88.53,89.86,-0.01,-0.0111,28022.4,255113.0,19.112,19.112,0.52,38.5473,41.34,3.0017,10.2534,9.8971,,,17784.5,1466.22,1466.22,1597940.0,131740.0,1.0,9
688366.SH,2019-11-07,90.02,90.67,92.26,88.6,89.85,0.82,0.9126,26486.5,240046.0,18.0644,18.0644,0.72,38.8991,41.7173,3.0291,10.347,9.9874,,,17784.5,1466.22,1466.22,1612520.0,132943.0,1.0,9
688366.SH,2019-11-08,90.2,90.85,91.88,88.8,90.67,0.18,0.1985,21224.7,192401.0,14.4757,14.4757,0.73,38.9763,41.8001,3.0351,10.3675,10.0073,,,17784.5,1466.22,1466.22,1615720.0,133206.0,1.0,9
688366.SH,2019-11-11,89.68,83.96,89.72,83.9,90.85,-6.89,-7.5839,24366.2,209530.0,16.6183,16.6183,0.93,36.0204,38.63,2.8049,9.5812,9.2483,,,17784.5,1466.22,1466.22,1493190.0,123104.0,1.0,9
688366.SH,2019-11-12,83.85,81.1,85.1,80.83,83.96,-2.86,-3.4064,17168.6,141224.0,11.7094,11.7094,0.64,34.7934,37.3141,2.7093,9.2549,8.9333,,,17784.5,1466.22,1466.22,1442330.0,118911.0,1.0,9
688366.SH,2019-11-13,81.1,80.84,82.18,80.34,81.1,-0.26,-0.3206,10831.7,87906.3,7.3875,7.3875,0.46,34.6818,37.1945,2.7007,9.2252,8.9046,,,17784.5,1466.22,1466.22,1437700.0,118530.0,1.0,9
688366.SH,2019-11-14,80.9,82.1,83.96,80.5,80.84,1.26,1.5586,14093.4,116275.0,9.6121,9.6121,0.7,35.2224,37.7742,2.7428,9.369,9.0434,,,17784.5,1466.22,1466.22,1460110.0,120377.0,1.0,9
688366.SH,2019-11-15,81.61,85.38,85.81,80.55,82.1,3.28,3.9951,19757.0,165336.0,13.4747,13.4747,1.13,36.6296,39.2834,2.8523,9.7433,9.4047,,,17784.5,1466.22,1466.22,1518440.0,125186.0,1.0,9
688366.SH,2019-11-18,83.58,83.08,85.85,83.08,85.38,-2.3,-2.6938,12477.6,105586.0,8.51,8.51,0.72,35.6428,38.2251,2.7755,9.4808,9.1514,,,17784.5,1466.22,1466.22,1477540.0,121814.0,1.0,9
688366.SH,2019-11-19,83.22,87.3,88.88,83.22,83.08,4.22,5.0794,18064.5,157046.0,12.3204,12.3204,1.22,37.4533,40.1668,2.9165,9.9624,9.6162,,,17784.5,1466.22,1466.22,1552590.0,128001.0,1.0,9
688366.SH,2019-11-20,86.97,89.4,91.87,86.59,87.3,2.1,2.4055,21823.2,196554.0,14.8839,14.8839,1.45,38.3542,41.133,2.9866,10.202,9.8475,,,17784.5,1466.22,1466.22,1589940.0,131080.0,1.0,9
688366.SH,2019-11-21,89.4,91.28,93.84,88.02,89.4,1.88,2.1029,17455.9,159473.0,11.9054,11.9054,1.01,39.1608,41.998,3.0494,10.4166,10.0546,,,17784.5,1466.22,1466.22,1623370.0,133837.0,1.0,9
688366.SH,2019-11-22,91.63,90.42,92.0,88.6,91.28,-0.86,-0.9422,11886.0,106788.0,8.1065,8.1065,0.66,38.7918,41.6023,3.0207,10.3184,9.9599,,,17784.5,1466.22,1466.22,1608080.0,132576.0,1.0,9
688366.SH,2019-11-25,90.38,91.34,91.88,88.21,90.42,0.92,1.0175,6988.52,63071.4,4.7663,4.7663,0.43,39.1865,42.0256,3.0514,10.4234,10.0612,,,17784.5,1466.22,1466.22,1624440.0,133925.0,1.0,9
688366.SH,2019-11-26,90.8,88.33,91.69,87.92,91.34,-3.01,-3.2954,8675.22,76976.2,5.9167,5.9167,0.57,37.8952,40.6407,2.9509,10.0799,9.7297,,,17784.5,1466.22,1466.22,1570910.0,129512.0,1.0,9
688366.SH,2019-11-27,88.33,85.44,88.33,85.33,88.33,-2.89,-3.2718,5828.13,50227.9,3.9749,3.9749,0.44,36.6553,39.311,2.8543,9.7501,9.4113,,,17784.5,1466.22,1466.22,1519510.0,125274.0,1.0,9
688366.SH,2019-11-28,85.44,87.71,87.85,85.28,85.44,2.27,2.6568,5958.99,51898.9,4.0642,4.0642,0.59,37.6292,40.3554,2.9302,10.0092,9.6614,,,17784.5,1466.22,1466.22,1559880.0,128602.0,1.0,9
688366.SH,2019-11-29,87.15,85.63,87.69,84.9,87.71,-2.08,-2.3715,4881.52,41858.2,3.3293,3.3293,0.62,36.7368,39.3984,2.8607,9.7718,9.4323,,,17784.5,1466.22,1466.22,1522890.0,125553.0,1.0,9
688366.SH,2019-12-02,86.02,85.2,86.13,84.6,85.63,-0.43,-0.5022,3264.09,27780.1,2.2262,2.2262,0.5,36.5523,39.2005,2.8463,9.7227,9.3849,,,17784.5,1466.22,1466.22,1515240.0,124922.0,1.0,9
688366.SH,2019-12-03,85.01,82.88,85.66,82.0,85.2,-2.32,-2.723,5595.29,46344.9,3.8161,3.8161,0.98,35.557,38.1331,2.7688,9.458,9.1293,,,17784.5,1466.22,1466.22,1473980.0,121521.0,1.0,9
688366.SH,2019-12-04,82.89,82.95,83.89,82.22,82.88,0.07,0.0845,2329.07,19358.6,1.5885,1.5885,0.46,35.587,38.1653,2.7712,9.466,9.1371,,,17784.5,1466.22,1466.22,1475230.0,121623.0,1.0,9
688366.SH,2019-12-05,83.48,82.89,83.48,82.36,82.95,-0.06,-0.0723,3554.59,29425.4,2.4243,2.4243,0.81,35.5613,38.1377,2.7691,9.4591,9.1304,,,17784.5,1466.22,1466.22,1474160.0,121535.0,1.0,9
688366.SH,2019-12-06,83.03,83.03,83.83,82.62,82.89,0.14,0.1689,2819.72,23446.0,1.9231,1.9231,0.72,35.6214,38.2021,2.7738,9.4751,9.1459,,,17784.5,1466.22,1466.22,1476650.0,121741.0,1.0,9
688366.SH,2019-12-09,83.09,84.8,84.98,82.72,83.03,1.77,2.1318,4527.22,38009.5,3.0877,3.0877,1.29,36.3807,39.0165,2.833,9.6771,9.3408,,,17784.5,1466.22,1466.22,1508130.0,124336.0,1.0,9
688366.SH,2019-12-10,85.0,88.31,89.87,84.39,84.8,3.51,4.1392,10951.5,96657.6,7.4692,7.4692,2.91,37.8866,40.6315,2.9502,10.0776,9.7275,,,17784.5,1466.22,1466.22,1570550.0,129482.0,1.0,9
688366.SH,2019-12-11,87.79,87.09,89.8,86.91,88.31,-1.22,-1.3815,4813.66,42214.4,3.283,3.283,1.0,37.3632,40.0701,2.9095,9.9384,9.5931,,,17784.5,1466.22,1466.22,1548850.0,127693.0,1.0,9
688366.SH,2019-12-12,87.5,87.0,89.49,86.51,87.09,-0.09,-0.1033,4438.04,38940.5,3.0269,3.0269,0.83,37.3246,40.0287,2.9065,9.9281,9.5832,,,17784.5,1466.22,1466.22,1547250.0,127561.0,1.0,9
688366.SH,2019-12-13,88.0,88.2,88.5,87.2,87.0,1.2,1.3793,4541.17,39850.1,3.0972,3.0972,0.82,37.8394,40.5808,2.9465,10.0651,9.7153,,,17784.5,1466.22,1466.22,1568600.0,129321.0,1.0,9
688366.SH,2019-12-16,88.0,88.93,89.8,88.0,88.2,0.73,0.8277,5567.68,49566.0,3.7973,3.7973,0.95,38.1526,40.9167,2.9709,10.1484,9.7958,,,17784.5,1466.22,1466.22,1581580.0,130391.0,1.0,9
688366.SH,2019-12-17,89.79,88.72,89.79,88.11,88.93,-0.21,-0.2361,5536.32,49205.1,3.7759,3.7759,0.91,38.0625,40.8201,2.9639,10.1244,9.7726,,,17784.5,1466.22,1466.22,1577840.0,130083.0,1.0,9
688366.SH,2019-12-18,88.72,90.25,90.9,88.71,88.72,1.53,1.7245,8299.38,74787.6,5.6604,5.6604,1.67,38.7189,41.5241,3.015,10.299,9.9412,,,17784.5,1466.22,1466.22,1605050.0,132327.0,1.0,9
688366.SH,2019-12-19,89.99,89.68,91.24,89.3,90.25,-0.57,-0.6316,5939.52,53439.3,4.0509,4.0509,1.05,38.4743,41.2618,2.996,10.234,9.8784,,,17784.5,1466.22,1466.22,1594920.0,131491.0,1.0,9
688366.SH,2019-12-20,89.1,88.1,89.68,88.1,89.68,-1.58,-1.7618,4775.02,42322.5,3.2567,3.2567,0.8,37.7965,40.5348,2.9432,10.0537,9.7043,,,17784.5,1466.22,1466.22,1566820.0,129174.0,1.0,9
688366.SH,2019-12-23,88.11,84.5,88.11,84.5,88.1,-3.6,-4.0863,5245.1,45034.2,3.5773,3.5773,0.87,36.252,38.8785,2.8229,9.6429,9.3078,,,17784.5,1466.22,1466.22,1502790.0,123896.0,1.0,9
688366.SH,2019-12-24,84.8,85.27,85.8,84.35,84.5,0.77,0.9112,2817.89,23939.7,1.9219,1.9219,0.47,36.5824,39.2328,2.8487,9.7307,9.3926,,,17784.5,1466.22,1466.22,1516490.0,125025.0,1.0,9
688366.SH,2019-12-25,85.23,85.8,86.48,84.34,85.27,0.53,0.6216,4006.67,34365.2,2.7326,2.7326,0.74,36.8097,39.4766,2.8664,9.7912,9.451,,,17784.5,1466.22,1466.22,1525910.0,125802.0,1.0,9
688366.SH,2019-12-26,86.21,87.9,88.35,86.01,85.8,2.1,2.4476,6267.7,54887.7,4.2747,4.2747,1.38,37.7107,40.4428,2.9365,10.0308,9.6823,,,17784.5,1466.22,1466.22,1563260.0,128881.0,1.0,9
688366.SH,2019-12-27,88.88,86.24,88.91,86.0,87.9,-1.66,-1.8885,5305.92,46301.0,3.6188,3.6188,1.15,36.9985,39.6791,2.8811,9.8414,9.4995,,,17784.5,1466.22,1466.22,1533740.0,126447.0,1.0,9
688366.SH,2019-12-30,86.26,85.6,86.56,85.1,86.24,-0.64,-0.7421,4874.27,41669.2,3.3244,3.3244,1.03,36.7239,39.3846,2.8597,9.7684,9.429,,,17784.5,1466.22,1466.22,1522360.0,125509.0,1.0,9
