Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Vwap,Intra_tail_ratio,Intra_returns_skewness,Intra_returns_kurtosis,Intra_price_vol_corr,Intra_downside_ratio,Up_limit,Down_limit,Mfd_buyord,Mfd_sellord,Mfd_volinflowrate,Mkt_class,Ind_class_l1,Ind_class_l2,List_date
000990.SZ,2010-07-19,10.1,10.7,10.97,10.02,10.21,0.49,4.8,74434.1,79249.5,2.7484,4.6512,1.6,78.2947,76.7451,2.0432,1.1217,1.0322,0.6796,0.9346,29703.2,27082.6,16003.2,317825.0,289784.0,2.95,10.6469,0.114115,2.2686,8.3625,0.115455,0.173014,11.23,9.19,21466,18422,0.0763941094319903,1,15,56,2000-07-06
000990.SZ,2010-07-20,10.61,10.94,11.07,10.58,10.7,0.24,2.24,86890.4,94685.4,3.2083,5.4296,1.69,80.0508,78.4665,2.089,1.1468,1.0554,0.6647,0.9141,29703.2,27082.6,16003.2,324953.0,296284.0,2.95,10.8971,0.112579,0.337562,0.265448,-0.439808,0.360544,11.77,9.63,16696,27412,-0.2423579266439516,1,15,56,2000-07-06
000990.SZ,2010-07-21,10.95,11.21,11.3,10.84,10.94,0.27,2.47,60580.7,67140.9,2.2369,3.7855,0.99,82.0265,80.403,2.1406,1.1751,1.0814,0.6487,0.8921,29703.2,27082.6,16003.2,332973.0,303596.0,2.95,11.0829,0.214605,1.21186,1.55468,0.263861,0.249677,12.03,9.85,20335,15293,0.1414687201683673,1,15,56,2000-07-06
000990.SZ,2010-07-22,11.15,11.11,11.24,10.98,11.21,-0.1,-0.89,52272.6,58072.6,1.9301,3.2664,0.79,81.2948,79.6858,2.1215,1.1646,1.0718,0.6545,0.9001,29703.2,27082.6,16003.2,330003.0,300888.0,2.95,11.1096,0.449716,0.136967,-0.44323,-0.0867633,0.529631,12.33,10.09,13255,21851,-0.2442907826731638,1,15,56,2000-07-06
000990.SZ,2010-07-23,11.15,11.25,11.55,11.07,11.11,0.14,1.26,56468.3,63675.8,2.085,3.5286,0.89,82.3192,80.6899,2.1482,1.1793,1.0853,0.6464,0.8889,29703.2,27082.6,16003.2,334161.0,304679.0,2.95,11.2764,0.123344,0.622657,1.41697,0.0555627,0.378423,12.22,10.0,15724,18976,-0.09064154747693821,1,15,56,2000-07-06
000990.SZ,2010-07-26,11.2,11.23,11.32,11.0,11.25,-0.02,-0.18,30375.0,33929.5,1.1216,1.8981,0.46,82.1728,80.5465,2.1444,1.1772,1.0834,0.6475,0.8905,29703.2,27082.6,16003.2,333567.0,304138.0,2.95,11.1702,0.192922,-0.182714,-0.0279695,0.0751312,0.561582,12.38,10.13,4917,,,1,15,56,2000-07-06
000990.SZ,2010-07-27,11.2,11.0,11.33,11.0,11.23,-0.23,-2.05,45401.3,50515.0,1.6764,2.837,0.79,80.4899,78.8968,2.1005,1.1531,1.0612,0.6611,0.9091,29703.2,27082.6,16003.2,326736.0,297908.0,2.95,11.1263,0.193124,0.153284,-0.646374,-0.434755,0.580407,12.35,10.11,11150,17640,-0.22240432340883665,1,15,56,2000-07-06
000990.SZ,2010-07-28,11.02,11.23,11.3,10.94,11.0,0.23,2.09,55338.7,61904.5,2.0433,3.458,1.13,82.1728,80.5465,2.1444,1.1772,1.0834,0.6475,0.8905,29703.2,27082.6,16003.2,333567.0,304138.0,2.95,11.1865,0.338369,0.601943,1.37839,0.398174,0.359183,12.1,9.9,19797,22224,-0.05776869446711604,1,15,56,2000-07-06
000990.SZ,2010-07-29,11.3,11.53,11.55,11.17,11.23,0.3,2.67,67035.4,76229.8,2.4752,4.1889,1.4,84.368,82.6982,2.2017,1.2087,1.1123,0.6307,0.8673,29703.2,27082.6,16003.2,342478.0,312262.0,2.95,11.3716,0.228827,0.933217,2.2879,0.272745,0.362442,12.35,10.11,14422,17156,-0.08416170071884191,1,15,56,2000-07-06
000990.SZ,2010-07-30,11.5,11.46,11.58,11.18,11.53,-0.07,-0.61,48869.3,55607.7,1.8045,3.0537,0.96,83.8558,82.1961,2.1883,1.2013,1.1056,0.6345,0.8726,29703.2,27082.6,16003.2,340399.0,310366.0,2.95,11.3789,0.214308,0.830003,3.91761,-0.320562,0.399091,12.68,10.38,8506,,,1,15,56,2000-07-06
000990.SZ,2010-08-02,11.47,11.59,11.65,11.35,11.46,0.13,1.13,60988.1,70260.1,2.2519,3.811,1.23,84.8071,80.8436,2.2132,1.215,1.0688,0.6274,0.8628,29703.2,27082.6,16003.2,344261.0,313887.0,2.95,11.5203,0.207352,0.0534496,0.10445,0.40391,0.450442,12.61,10.31,16883,22702,-0.1461607323368987,1,15,56,2000-07-06
000990.SZ,2010-08-03,11.59,11.6,11.95,11.42,11.59,0.01,0.09,82340.0,95710.9,3.0403,5.1452,1.48,84.8802,80.9134,2.2151,1.216,1.0698,0.6269,0.8621,29703.2,27082.6,16003.2,344558.0,314158.0,2.95,11.6239,0.342737,0.170401,1.73023,0.564515,0.463977,12.75,10.43,17406,28250,-0.23556776094384402,1,15,56,2000-07-06
000990.SZ,2010-08-04,11.53,12.03,12.1,11.42,11.6,0.43,3.71,95163.9,112147.0,3.5138,5.9466,1.51,88.0267,83.9127,2.2972,1.2611,1.1094,0.6045,0.8313,29703.2,27082.6,16003.2,357330.0,325804.0,2.95,11.7846,0.248434,-0.26788,0.426621,0.631882,0.393119,12.76,10.44,28723,27614,0.01977709199829046,1,15,56,2000-07-06
000990.SZ,2010-08-05,11.95,12.19,12.33,11.9,12.03,0.16,1.33,114305.0,139266.0,4.2206,7.1426,1.61,89.1974,85.0288,2.3277,1.2779,1.1242,0.5965,0.8203,29703.2,27082.6,16003.2,362082.0,330137.0,2.95,12.1838,0.130712,-0.428868,0.189913,0.247263,0.524161,13.23,10.83,26715,41031,-0.21065775626419334,1,15,56,2000-07-06
000990.SZ,2010-08-06,12.13,12.82,12.99,11.9,12.19,0.63,5.17,182896.0,228195.0,6.7533,11.4287,2.28,93.8073,89.4232,2.448,1.3439,1.1823,0.5672,0.78,29703.2,27082.6,16003.2,380796.0,347199.0,2.95,12.4768,0.131146,0.930759,1.70751,0.4438,0.252115,13.41,10.97,105544,82416,0.1257211967338751,1,15,56,2000-07-06
000990.SZ,2010-08-09,12.82,13.1,13.5,12.7,12.82,0.28,2.18,198253.0,260949.0,7.3203,12.3884,1.85,95.8561,91.3763,2.5015,1.3733,1.2081,0.5551,0.7634,29703.2,27082.6,16003.2,389112.0,354782.0,2.95,13.1624,0.232587,1.08633,1.55584,-0.325236,0.308866,14.1,11.54,104554,105371,-0.0038185301069491905,1,15,56,2000-07-06
000990.SZ,2010-08-10,13.0,12.58,13.15,12.56,13.1,-0.52,-3.97,124137.0,160359.0,4.5836,7.757,0.92,92.0511,87.7491,2.4022,1.3187,1.1601,0.578,0.7949,29703.2,27082.6,16003.2,373667.0,340699.0,2.95,12.918,0.12947,-0.24918,0.600869,-0.00372477,0.640412,14.41,11.79,41646,65052,-0.2180552952702967,1,15,56,2000-07-06
000990.SZ,2010-08-11,12.4,12.86,13.07,12.4,12.58,0.28,2.23,80268.9,102689.0,2.9639,5.0158,0.56,94.1,89.7022,2.4557,1.3481,1.186,0.5654,0.7776,29703.2,27082.6,16003.2,381984.0,348282.0,2.95,12.7931,0.240242,0.0256339,-0.620865,0.386825,0.42914,13.84,11.32,34792,32044,0.0420902382677126,1,15,56,2000-07-06
000990.SZ,2010-08-12,12.62,12.34,12.82,12.25,12.86,-0.52,-4.04,84077.2,105218.0,3.1045,5.2538,0.6,90.295,86.0751,2.3564,1.2936,1.138,0.5893,0.8104,29703.2,27082.6,16003.2,366538.0,334199.0,2.95,12.5145,0.148281,-0.0744524,0.356962,-0.21639,0.600184,14.15,11.57,23671,34752,-0.1891144173766773,1,15,56,2000-07-06
000990.SZ,2010-08-13,12.3,12.46,12.64,12.07,12.34,0.12,0.97,49818.4,61509.4,1.8395,3.113,0.37,91.1731,86.9121,2.3793,1.3062,1.1491,0.5836,0.8026,29703.2,27082.6,16003.2,370102.0,337449.0,2.95,12.3467,0.132844,0.0876359,-0.507298,0.148253,0.462078,13.57,11.11,13408,13159,0.01196386461365839,1,15,56,2000-07-06
000990.SZ,2010-08-16,12.49,12.84,12.98,12.49,12.46,0.38,3.05,74508.0,95476.8,2.7511,4.6558,0.69,93.9536,89.5627,2.4518,1.346,1.1841,0.5663,0.7788,29703.2,27082.6,16003.2,381390.0,347740.0,2.95,12.8143,0.263059,0.0895227,2.63405,-0.00961827,0.464632,13.71,11.21,24928,28781,-0.07155854915913169,1,15,56,2000-07-06
000990.SZ,2010-08-17,12.88,12.8,12.92,12.64,12.84,-0.04,-0.31,69149.2,88189.2,2.5533,4.321,0.84,93.6609,89.2837,2.4442,1.3418,1.1804,0.5681,0.7813,29703.2,27082.6,16003.2,380202.0,346657.0,2.95,12.7535,0.179135,1.10656,2.12137,0.111519,0.375195,14.12,11.56,18816,30977,-0.2434024602338588,1,15,56,2000-07-06
000990.SZ,2010-08-18,12.76,13.08,13.13,12.7,12.8,0.28,2.19,68005.3,88018.9,2.511,4.2495,0.95,95.7098,91.2368,2.4977,1.3712,1.2062,0.5559,0.7645,29703.2,27082.6,16003.2,388518.0,354240.0,2.95,12.943,0.233939,0.46088,0.922426,0.615848,0.322674,14.08,11.52,16995,,,1,15,56,2000-07-06
