Instrument,Date,Close,Open,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount
399371.SZ,2010-01-04,4290.8,4356.74,4362.49,4290.26,4334.65,-43.854,-1.0117,48151200.0,55320600.0
399371.SZ,2010-01-05,4321.51,4302.36,4338.79,4241.72,4290.8,30.708,0.7157,59259600.0,71384200.0
399371.SZ,2010-01-06,4290.76,4312.4,4345.46,4288.81,4321.51,-30.75,-0.7116,59189500.0,73807400.0
399371.SZ,2010-01-07,4197.51,4288.27,4307.26,4176.78,4290.76,-93.25,-2.1733,59513700.0,71391600.0
399371.SZ,2010-01-08,4216.44,4179.08,4218.46,4148.68,4197.51,18.934,0.4511,45711600.0,54977200.0
399371.SZ,2010-01-11,4222.07,4347.26,4348.88,4200.13,4216.44,5.63,0.1335,65009600.0,76120900.0
399371.SZ,2010-01-12,4286.19,4212.8,4286.91,4166.35,4222.07,64.115,1.5186,71082100.0,81297000.0
399371.SZ,2010-01-13,4137.72,4179.98,4222.68,4130.76,4286.19,-148.465,-3.4638,82921100.0,94428100.0
399371.SZ,2010-01-14,4195.87,4150.44,4196.56,4127.33,4137.72,58.15,1.4054,62376200.0,72828300.0
399371.SZ,2010-01-15,4216.71,4197.34,4234.98,4167.93,4195.87,20.841,0.4967,55107800.0,65030300.0
399371.SZ,2010-01-18,4249.2,4204.0,4249.92,4190.41,4216.71,32.485,0.7704,61497400.0,70384500.0
399371.SZ,2010-01-19,4265.13,4255.1,4287.16,4248.89,4249.2,15.93,0.3749,63200500.0,72828700.0
399371.SZ,2010-01-20,4119.2,4271.57,4275.85,4111.28,4265.13,-145.925,-3.4214,73924100.0,82616600.0
399371.SZ,2010-01-21,4148.43,4124.44,4172.17,4094.58,4119.2,29.233,0.7097,52004800.0,59968600.0
399371.SZ,2010-01-22,4126.14,4096.75,4157.91,4016.45,4148.43,-22.292,-0.5374,67323200.0,75652400.0
399371.SZ,2010-01-25,4043.88,4077.98,4125.15,4041.17,4126.14,-82.259,-1.9936,40942800.0,43420100.0
399371.SZ,2010-01-26,3953.53,4045.0,4063.42,3927.09,4043.88,-90.353,-2.2343,44900200.0,48113100.0
399371.SZ,2010-01-27,3886.96,3954.96,3968.22,3866.99,3953.53,-66.574,-1.6839,38020900.0,40737800.0
399371.SZ,2010-01-28,3886.6,3883.38,3907.2,3847.15,3886.96,-0.355,-0.0091,34473700.0,36648100.0
399371.SZ,2010-01-29,3883.15,3866.84,3939.54,3851.36,3886.6,-3.447,-0.0887,38033200.0,41368700.0
399371.SZ,2010-02-01,3809.81,3873.8,3873.8,3767.38,3883.15,-73.347,-1.8889,40465500.0,43508700.0
399371.SZ,2010-02-02,3814.46,3830.68,3891.05,3810.19,3809.81,4.657,0.1222,35660600.0,39663000.0
399371.SZ,2010-02-03,3922.16,3830.31,3922.58,3748.89,3814.46,107.691,2.8232,47011500.0,50552400.0
399371.SZ,2010-02-04,3908.54,3892.7,3937.68,3872.33,3922.16,-13.618,-0.3472,40479000.0,44025500.0
399371.SZ,2010-02-05,3834.56,3824.96,3865.31,3804.46,3908.54,-73.973,-1.8926,41494100.0,44344700.0
399371.SZ,2010-02-08,3818.32,3831.62,3854.25,3800.96,3834.56,-16.248,-0.4237,26559700.0,28603700.0
399371.SZ,2010-02-09,3849.44,3814.91,3856.49,3810.23,3818.32,31.127,0.8152,28414000.0,28059100.0
399371.SZ,2010-02-10,3896.85,3876.57,3897.18,3863.41,3849.44,47.411,1.2316,24614700.0,26664000.0
399371.SZ,2010-02-11,3899.87,3899.46,3920.52,3887.93,3896.85,3.014,0.0773,25148300.0,25929600.0
399371.SZ,2010-02-12,3943.78,3915.84,3945.44,3912.59,3899.87,43.915,1.1261,23016300.0,24831000.0
399371.SZ,2010-02-22,3923.92,3936.32,3957.92,3921.01,3943.78,-19.861,-0.5036,27698700.0,29556500.0
399371.SZ,2010-02-23,3905.58,3918.53,3918.53,3841.21,3923.92,-18.338,-0.4673,34429000.0,36771100.0
399371.SZ,2010-02-24,3964.97,3879.95,3965.71,3864.06,3905.58,59.39,1.5206,43082900.0,44881600.0
399371.SZ,2010-02-25,4027.69,3971.37,4030.49,3969.22,3964.97,62.712,1.5816,53823500.0,58526400.0
399371.SZ,2010-02-26,4026.16,4018.75,4043.86,4003.67,4027.69,-1.528,-0.0379,42810600.0,46841700.0
399371.SZ,2010-03-01,4078.48,4029.43,4088.51,4029.43,4026.16,52.323,1.2996,46617500.0,50863600.0
399371.SZ,2010-03-02,4065.91,4083.64,4102.64,4048.89,4078.48,-12.569,-0.3082,44368300.0,49807000.0
399371.SZ,2010-03-03,4099.02,4066.37,4100.14,4045.05,4065.91,33.108,0.8143,50348400.0,53265700.0
399371.SZ,2010-03-04,3992.79,4100.89,4110.03,3983.15,4099.02,-106.232,-2.5916,55583500.0,59749300.0
399371.SZ,2010-03-05,4003.07,3996.51,4021.45,3978.93,3992.79,10.284,0.2576,38950300.0,41145600.0
399371.SZ,2010-03-08,4044.74,4014.04,4056.11,4004.93,4003.07,41.672,1.041,36760300.0,39609200.0
399371.SZ,2010-03-09,4064.65,4041.72,4084.89,4007.58,4044.74,19.908,0.4922,40751400.0,44667400.0
399371.SZ,2010-03-10,4029.9,4061.11,4085.04,4014.83,4064.65,-34.752,-0.855,38056500.0,40728600.0
399371.SZ,2010-03-11,4031.91,4032.62,4064.11,4002.64,4029.9,2.005,0.0498,38660500.0,42896300.0
399371.SZ,2010-03-12,3971.82,4031.71,4040.62,3970.75,4031.91,-60.082,-1.4902,33359600.0,35935500.0
399371.SZ,2010-03-15,3908.1,3968.28,3974.89,3893.57,3971.82,-63.718,-1.6043,29375300.0,31799400.0
399371.SZ,2010-03-16,3945.85,3906.88,3945.85,3893.42,3908.1,37.742,0.9657,26566900.0,28586600.0
399371.SZ,2010-03-17,4031.97,3953.95,4031.97,3946.14,3945.85,86.125,2.1827,39313200.0,43075000.0
399371.SZ,2010-03-18,4021.92,4037.34,4056.41,4007.24,4031.97,-10.054,-0.2494,40095100.0,44282100.0
399371.SZ,2010-03-19,4051.49,4023.96,4055.11,4000.29,4021.92,29.57,0.7352,38656100.0,43491700.0
399371.SZ,2010-03-22,4069.84,4054.85,4083.34,4049.8,4051.49,18.351,0.4529,39726600.0,44631700.0
399371.SZ,2010-03-23,4035.35,4072.93,4078.45,4032.15,4069.84,-34.486,-0.8474,40889400.0,45249400.0
399371.SZ,2010-03-24,4040.8,4043.68,4068.11,4033.45,4035.35,5.444,0.1349,42352200.0,45522000.0
399371.SZ,2010-03-25,3985.49,4032.72,4032.72,3973.1,4040.8,-55.307,-1.3687,42475600.0,46576600.0
399371.SZ,2010-03-26,4049.06,3980.77,4062.24,3974.31,3985.49,63.575,1.5952,43235400.0,47185000.0
399371.SZ,2010-03-29,4148.54,4073.46,4153.77,4069.39,4049.06,99.471,2.4566,61887600.0,70744700.0
399371.SZ,2010-03-30,4160.57,4150.18,4167.58,4134.67,4148.54,12.037,0.2902,44283700.0,52277900.0
399371.SZ,2010-03-31,4131.93,4161.04,4161.21,4121.39,4160.57,-28.647,-0.6885,44171500.0,51253300.0
399371.SZ,2010-04-01,4178.76,4135.37,4184.17,4135.37,4131.93,46.838,1.1336,52056800.0,61878500.0
399371.SZ,2010-04-02,4196.63,4188.71,4199.43,4175.37,4178.76,17.871,0.4277,54093200.0,63055000.0
399371.SZ,2010-04-06,4209.55,4215.74,4243.13,4187.38,4196.63,12.911,0.3077,50803900.0,60958600.0
399371.SZ,2010-04-07,4188.48,4207.18,4209.92,4163.97,4209.55,-21.062,-0.5003,44084400.0,52146900.0
399371.SZ,2010-04-08,4138.59,4178.78,4178.78,4122.89,4188.48,-49.892,-1.1912,47303100.0,57306200.0
399371.SZ,2010-04-09,4177.54,4138.95,4177.81,4134.15,4138.59,38.947,0.9411,43576400.0,52868100.0
399371.SZ,2010-04-12,4138.62,4189.01,4194.41,4110.3,4177.54,-38.919,-0.9316,57335900.0,68939400.0
399371.SZ,2010-04-13,4175.24,4137.38,4191.3,4086.79,4138.62,36.622,0.8849,62521000.0,75097900.0
399371.SZ,2010-04-14,4186.7,4176.54,4187.73,4157.79,4175.24,11.458,0.2744,47565900.0,56635600.0
399371.SZ,2010-04-15,4171.5,4193.35,4195.6,4133.13,4186.7,-15.205,-0.3632,47558700.0,57141000.0
399371.SZ,2010-04-16,4119.64,4162.17,4162.17,4111.72,4171.5,-51.858,-1.2432,37840500.0,44427700.0
399371.SZ,2010-04-19,3884.29,4062.33,4062.33,3882.04,4119.64,-235.342,-5.7127,65427400.0,73102200.0
399371.SZ,2010-04-20,3869.44,3885.92,3912.36,3817.28,3884.29,-14.859,-0.3825,48677000.0,54746900.0
399371.SZ,2010-04-21,3946.67,3875.68,3946.89,3851.04,3869.44,77.232,1.9959,53537400.0,63150200.0
399371.SZ,2010-04-22,3885.83,3924.99,3924.99,3851.62,3946.67,-60.834,-1.5414,56726300.0,67304300.0
399371.SZ,2010-04-23,3869.28,3880.81,3909.62,3842.29,3885.83,-16.558,-0.4261,48970800.0,61910400.0
399371.SZ,2010-04-26,3854.29,3875.75,3891.78,3847.85,3869.28,-14.99,-0.3874,39445900.0,47329800.0
399371.SZ,2010-04-27,3766.19,3841.0,3841.0,3712.03,3854.29,-88.098,-2.2857,48445600.0,53708500.0
399371.SZ,2010-04-28,3762.43,3732.5,3783.73,3713.73,3766.19,-3.754,-0.0997,35037800.0,39691100.0
399371.SZ,2010-04-29,3723.43,3784.27,3809.92,3722.91,3762.43,-39.008,-1.0368,38146500.0,44630700.0
399371.SZ,2010-04-30,3734.65,3732.89,3741.34,3670.83,3723.43,11.22,0.3013,40977400.0,44116500.0
399371.SZ,2010-05-04,3686.38,3666.46,3723.87,3649.44,3734.65,-48.263,-1.2923,28734800.0,32112100.0
399371.SZ,2010-05-05,3731.14,3649.59,3731.34,3612.21,3686.38,44.752,1.214,39000300.0,43789300.0
399371.SZ,2010-05-06,3561.27,3711.17,3711.17,3559.82,3731.14,-169.864,-4.5526,40720400.0,47424700.0
399371.SZ,2010-05-07,3487.44,3479.9,3549.36,3458.4,3561.27,-73.83,-2.0731,40090500.0,43278600.0
399371.SZ,2010-05-10,3511.96,3491.62,3529.45,3432.98,3487.44,24.516,0.703,33943000.0,37378400.0
399371.SZ,2010-05-11,3436.74,3584.82,3591.65,3423.74,3511.96,-75.222,-2.1419,40627900.0,43037500.0
399371.SZ,2010-05-12,3459.74,3409.16,3469.83,3376.85,3436.74,23.008,0.6695,35519900.0,36253000.0
399371.SZ,2010-05-13,3543.37,3454.01,3543.53,3446.55,3459.74,83.624,2.4171,38884100.0,39717400.0
399371.SZ,2010-05-14,3517.22,3516.75,3540.29,3493.01,3543.37,-26.147,-0.7379,30392500.0,31930100.0
399371.SZ,2010-05-17,3326.27,3469.12,3469.12,3322.83,3517.22,-190.953,-5.4291,34844500.0,33798100.0
399371.SZ,2010-05-18,3398.73,3323.48,3410.96,3292.69,3326.27,72.461,2.1784,34059200.0,33268600.0
399371.SZ,2010-05-19,3383.38,3372.8,3439.1,3337.94,3398.73,-15.352,-0.4517,31040000.0,31463400.0
399371.SZ,2010-05-20,3342.93,3356.34,3425.05,3335.56,3383.38,-40.451,-1.1956,28797100.0,29417600.0
399371.SZ,2010-05-21,3391.25,3256.1,3391.51,3246.59,3342.93,48.323,1.4455,35796500.0,35032600.0
399371.SZ,2010-05-24,3512.39,3412.63,3524.05,3412.63,3391.25,121.144,3.5723,49429600.0,51257600.0
399371.SZ,2010-05-25,3441.4,3486.39,3491.98,3423.2,3512.39,-70.988,-2.0211,39019800.0,39412800.0
399371.SZ,2010-05-26,3442.35,3441.2,3470.44,3422.92,3441.4,0.946,0.0275,27284300.0,27567700.0
399371.SZ,2010-05-27,3492.24,3438.53,3498.58,3393.03,3442.35,49.89,1.4493,35423900.0,36467200.0
399371.SZ,2010-05-28,3485.67,3524.7,3533.55,3465.58,3492.24,-6.575,-0.1883,38351900.0,39962200.0
399371.SZ,2010-05-31,3388.93,3464.37,3490.11,3388.24,3485.67,-96.738,-2.7753,34538600.0,35131900.0
399371.SZ,2010-06-01,3341.5,3368.93,3390.37,3302.17,3388.93,-47.422,-1.3993,34815700.0,33306600.0
399371.SZ,2010-06-02,3351.84,3320.42,3352.44,3286.42,3341.5,10.339,0.3094,30239400.0,29590600.0
399371.SZ,2010-06-03,3326.83,3366.75,3392.69,3326.44,3351.84,-25.015,-0.7463,30964400.0,31911600.0
399371.SZ,2010-06-04,3328.69,3311.69,3333.88,3295.8,3326.83,1.864,0.056,23981900.0,24188200.0
399371.SZ,2010-06-07,3257.9,3266.79,3287.02,3230.88,3328.69,-70.793,-2.1268,28849100.0,29066000.0
399371.SZ,2010-06-08,3254.48,3254.65,3282.26,3219.79,3257.9,-3.418,-0.1049,25217400.0,25481700.0
399371.SZ,2010-06-09,3370.48,3270.02,3377.47,3240.62,3254.48,116.001,3.5643,44227200.0,43582600.0
399371.SZ,2010-06-10,3329.39,3334.18,3359.4,3321.44,3370.48,-41.09,-1.2191,34173500.0,33794900.0
399371.SZ,2010-06-11,3342.16,3346.02,3370.03,3336.71,3329.39,12.763,0.3833,30893100.0,30624500.0
399371.SZ,2010-06-17,3333.71,3366.43,3375.7,3333.65,3342.16,-8.445,-0.2527,25393400.0,25113700.0
399371.SZ,2010-06-18,3281.75,3330.56,3352.79,3268.59,3333.71,-51.966,-1.5588,28869500.0,28488500.0
399371.SZ,2010-06-21,3386.43,3288.19,3390.28,3272.84,3281.75,104.68,3.1898,37560100.0,35382100.0
399371.SZ,2010-06-22,3394.61,3379.77,3409.89,3372.26,3386.43,8.189,0.2418,30185900.0,29557100.0
399371.SZ,2010-06-23,3361.96,3374.52,3393.5,3330.0,3394.61,-32.659,-0.9621,26131100.0,24896800.0
399371.SZ,2010-06-24,3364.58,3355.05,3392.85,3337.2,3361.96,2.624,0.078,21895500.0,21256200.0
399371.SZ,2010-06-25,3342.14,3348.02,3368.82,3316.9,3364.58,-22.435,-0.6668,22656500.0,21316600.0
399371.SZ,2010-06-28,3328.01,3338.5,3365.85,3315.62,3342.14,-14.135,-0.4229,21454500.0,20654800.0
399371.SZ,2010-06-29,3171.76,3330.6,3337.13,3171.76,3328.01,-156.245,-4.6948,33536400.0,29975200.0
399371.SZ,2010-06-30,3131.62,3149.07,3152.99,3114.31,3171.76,-40.139,-1.2655,24535200.0,20841400.0
399371.SZ,2010-07-01,3097.79,3128.92,3149.84,3095.68,3131.62,-33.839,-1.0806,20688900.0,18782100.0
399371.SZ,2010-07-02,3113.01,3097.71,3121.41,3024.72,3097.79,15.22,0.4913,26850400.0,23928600.0
399371.SZ,2010-07-05,3095.0,3080.65,3113.73,3048.76,3113.01,-18.008,-0.5785,20748800.0,18209900.0
399371.SZ,2010-07-06,3162.24,3089.16,3162.24,3085.65,3095.0,67.237,2.1724,27822800.0,24425900.0
399371.SZ,2010-07-07,3182.87,3157.55,3182.87,3141.02,3162.24,20.633,0.6525,23219500.0,21231400.0
399371.SZ,2010-07-08,3182.37,3199.69,3213.98,3165.58,3182.87,-0.498,-0.0156,24009400.0,22048300.0
399371.SZ,2010-07-09,3270.9,3185.99,3288.69,3159.18,3182.37,88.525,2.7817,39156000.0,36815400.0
399371.SZ,2010-07-12,3309.32,3270.67,3327.57,3255.91,3270.9,38.422,1.1747,39260300.0,38577200.0
399371.SZ,2010-07-13,3258.78,3278.58,3278.58,3235.37,3309.32,-50.54,-1.5272,28702300.0,27064200.0
399371.SZ,2010-07-14,3288.05,3267.52,3322.76,3266.86,3258.78,29.27,0.8982,31222000.0,30162300.0
399371.SZ,2010-07-15,3222.38,3283.66,3317.32,3222.02,3288.05,-65.665,-1.9971,27131600.0,24905900.0
399371.SZ,2010-07-16,3231.05,3208.93,3238.91,3180.27,3222.38,8.672,0.2691,22661200.0,20525900.0
399371.SZ,2010-07-19,3312.31,3202.42,3322.28,3193.3,3231.05,81.259,2.5149,34365200.0,34201000.0
399371.SZ,2010-07-20,3379.64,3318.83,3387.48,3318.83,3312.31,67.327,2.0326,47824800.0,47817900.0
399371.SZ,2010-07-21,3386.56,3382.26,3407.92,3368.07,3379.64,6.924,0.2049,45780000.0,43355600.0
399371.SZ,2010-07-22,3427.13,3375.56,3428.09,3371.15,3386.56,40.566,1.1979,38837400.0,37336600.0
399371.SZ,2010-07-23,3441.35,3431.9,3458.43,3411.84,3427.13,14.225,0.4151,42935400.0,41642600.0
399371.SZ,2010-07-26,3460.01,3446.46,3460.01,3415.38,3441.35,18.651,0.542,36003500.0,35294500.0
399371.SZ,2010-07-27,3438.47,3449.42,3458.09,3422.71,3460.01,-21.536,-0.6224,33808700.0,33991800.0
399371.SZ,2010-07-28,3522.11,3440.71,3522.92,3423.07,3438.47,83.643,2.4326,51139100.0,49498700.0
399371.SZ,2010-07-29,3545.79,3526.06,3555.99,3513.41,3522.11,23.674,0.6722,55640900.0,54712100.0
399371.SZ,2010-07-30,3530.91,3535.44,3540.32,3501.12,3545.79,-14.882,-0.4197,36656500.0,36522700.0
399371.SZ,2010-08-02,3595.75,3528.58,3597.69,3527.85,3530.91,64.844,1.8365,45842600.0,45657300.0
399371.SZ,2010-08-03,3528.82,3604.83,3607.81,3528.49,3595.75,-66.929,-1.8613,49631200.0,49906600.0
399371.SZ,2010-08-04,3540.12,3519.69,3541.06,3469.08,3528.82,11.3,0.3202,44796000.0,45248000.0
399371.SZ,2010-08-05,3508.04,3539.59,3539.59,3486.96,3540.12,-32.077,-0.9061,45053300.0,45785600.0
399371.SZ,2010-08-06,3562.77,3503.63,3563.67,3469.65,3508.04,54.725,1.56,46977500.0,48353200.0
399371.SZ,2010-08-09,3583.54,3556.58,3592.49,3547.55,3562.77,20.769,0.5829,46260800.0,48262400.0
399371.SZ,2010-08-10,3473.57,3584.97,3595.6,3472.94,3583.54,-109.971,-3.0688,51860400.0,52007400.0
399371.SZ,2010-08-11,3493.94,3462.71,3509.38,3462.71,3473.57,20.372,0.5865,34204700.0,35150700.0
399371.SZ,2010-08-12,3446.89,3460.67,3498.95,3440.08,3493.94,-47.044,-1.3464,37315500.0,37906800.0
399371.SZ,2010-08-13,3488.85,3448.42,3489.68,3420.45,3446.89,41.953,1.2171,34934700.0,35762100.0
399371.SZ,2010-08-16,3570.51,3481.57,3576.07,3473.48,3488.85,81.666,2.3408,51632400.0,53002000.0
399371.SZ,2010-08-17,3591.65,3572.42,3599.79,3560.7,3570.51,21.136,0.592,48854900.0,50028100.0
399371.SZ,2010-08-18,3585.51,3596.6,3621.14,3572.28,3591.65,-6.136,-0.1708,46994200.0,49473500.0
399371.SZ,2010-08-19,3611.12,3589.25,3633.19,3575.54,3585.51,25.604,0.7141,50131600.0,54171700.0
399371.SZ,2010-08-20,3551.21,3597.4,3614.5,3545.02,3611.12,-59.912,-1.6591,48027400.0,50548700.0
399371.SZ,2010-08-23,3560.41,3549.55,3585.96,3547.51,3551.21,9.205,0.2592,37440600.0,38944800.0
399371.SZ,2010-08-24,3575.22,3556.42,3602.46,3522.07,3560.41,14.811,0.416,44452900.0,42884500.0
399371.SZ,2010-08-25,3487.57,3552.56,3565.13,3486.45,3575.22,-87.653,-2.4517,45425200.0,43205000.0
399371.SZ,2010-08-26,3496.4,3499.32,3519.78,3478.0,3487.57,8.833,0.2533,34122200.0,33267600.0
399371.SZ,2010-08-27,3508.06,3494.28,3510.96,3477.34,3496.4,11.664,0.3336,29751000.0,30228200.0
399371.SZ,2010-08-30,3568.46,3525.03,3575.93,3523.29,3508.06,60.395,1.7216,44635500.0,47892700.0
399371.SZ,2010-08-31,3551.83,3556.67,3564.84,3536.19,3568.46,-16.627,-0.4659,44423500.0,49484200.0
399371.SZ,2010-09-01,3535.01,3558.02,3592.49,3506.59,3551.83,-16.824,-0.4737,52779500.0,57124900.0
399371.SZ,2010-09-02,3580.24,3575.75,3587.06,3555.11,3535.01,45.228,1.2794,51959400.0,58423400.0
399371.SZ,2010-09-03,3572.37,3583.86,3584.85,3537.72,3580.24,-7.87,-0.2198,49457000.0,54774400.0
399371.SZ,2010-09-06,3630.16,3589.19,3635.04,3586.55,3572.37,57.788,1.6176,63353900.0,65528100.0
399371.SZ,2010-09-07,3638.18,3635.56,3651.04,3610.52,3630.16,8.027,0.2211,52250400.0,52877000.0
399371.SZ,2010-09-08,3618.95,3619.09,3620.93,3593.18,3638.18,-19.231,-0.5286,48257800.0,52119400.0
399371.SZ,2010-09-09,3549.75,3624.37,3624.37,3542.98,3618.95,-69.197,-1.9121,55168000.0,60934300.0
399371.SZ,2010-09-10,3557.38,3553.0,3570.26,3504.81,3549.75,7.621,0.2147,44223700.0,50237400.0
399371.SZ,2010-09-13,3585.1,3559.56,3599.97,3546.7,3557.38,27.73,0.7795,47059400.0,53864700.0
399371.SZ,2010-09-14,3588.23,3595.14,3613.1,3574.98,3585.1,3.126,0.0872,45949100.0,52019900.0
399371.SZ,2010-09-15,3527.88,3587.46,3587.46,3519.25,3588.23,-60.352,-1.6819,45239900.0,48602200.0
399371.SZ,2010-09-16,3454.06,3524.35,3533.05,3425.21,3527.88,-73.823,-2.0926,48422200.0,51740200.0
399371.SZ,2010-09-17,3447.19,3462.47,3472.84,3438.63,3454.06,-6.863,-0.1987,32962400.0,35514700.0
399371.SZ,2010-09-20,3429.43,3450.31,3458.72,3408.38,3447.19,-17.766,-0.5154,28988100.0,30398200.0
399371.SZ,2010-09-21,3438.81,3440.68,3450.69,3420.75,3429.43,9.383,0.2736,22200900.0,23867800.0
399371.SZ,2010-09-27,3478.45,3451.02,3479.18,3442.32,3438.81,39.637,1.1526,29222500.0,31130600.0
399371.SZ,2010-09-28,3436.75,3473.71,3473.85,3432.17,3478.45,-41.695,-1.1987,33642700.0,36709500.0
399371.SZ,2010-09-29,3425.5,3428.81,3462.34,3417.34,3436.75,-11.257,-0.3275,33961700.0,37306500.0
399371.SZ,2010-09-30,3489.99,3408.49,3490.84,3407.34,3425.5,64.495,1.8828,32691900.0,37051000.0
399371.SZ,2010-10-08,3601.46,3522.85,3613.0,3514.86,3489.99,111.471,3.194,55117300.0,64610400.0
399371.SZ,2010-10-11,3699.95,3621.61,3718.42,3621.61,3601.46,98.492,2.7348,85568900.0,99319600.0
399371.SZ,2010-10-12,3734.75,3689.28,3735.33,3672.73,3699.95,34.798,0.9405,73046900.0,88113700.0
