Symbol,Date,Ind_class,List_date
000001.SZ,2020-01-02,银行,1991-04-03
000001.SZ,2020-01-23,银行,1991-04-03
000001.SZ,2020-03-31,银行,1991-04-03
000001.SZ,2020-04-01,银行,1991-04-03
000001.SZ,2020-04-30,银行,1991-04-03
000001.SZ,2020-05-06,银行,1991-04-03
000001.SZ,2020-05-29,银行,1991-04-03
000001.SZ,2020-06-01,银行,1991-04-03
000001.SZ,2020-06-03,银行,1991-04-03
000001.SZ,2020-06-04,银行,1991-04-03
000001.SZ,2020-06-05,银行,1991-04-03
000001.SZ,2020-06-08,银行,1991-04-03
000001.SZ,2020-06-30,银行,1991-04-03
000001.SZ,2020-07-01,银行,1991-04-03
000001.SZ,2020-07-31,银行,1991-04-03
000001.SZ,2020-08-03,银行,1991-04-03
000001.SZ,2020-08-31,银行,1991-04-03
000001.SZ,2020-09-01,银行,1991-04-03
000001.SZ,2020-09-30,银行,1991-04-03
000001.SZ,2020-10-09,银行,1991-04-03
000001.SZ,2020-10-30,银行,1991-04-03
000001.SZ,2020-11-02,银行,1991-04-03
000001.SZ,2020-11-30,银行,1991-04-03
000001.SZ,2020-12-01,银行,1991-04-03
000001.SZ,2020-12-31,银行,1991-04-03
000001.SZ,2021-01-04,银行,1991-04-03
000001.SZ,2021-01-29,银行,1991-04-03
000001.SZ,2021-02-01,银行,1991-04-03
000001.SZ,2021-02-26,银行,1991-04-03
000001.SZ,2021-03-01,银行,1991-04-03
000001.SZ,2021-03-31,银行,1991-04-03
000001.SZ,2021-04-01,银行,1991-04-03
000001.SZ,2021-04-30,银行,1991-04-03
000001.SZ,2021-05-06,银行,1991-04-03
000001.SZ,2021-05-31,银行,1991-04-03
000001.SZ,2021-06-01,银行,1991-04-03
000001.SZ,2021-06-30,银行,1991-04-03
000001.SZ,2021-07-01,银行,1991-04-03
000001.SZ,2021-07-30,银行,1991-04-03
000001.SZ,2021-08-02,银行,1991-04-03
000001.SZ,2021-09-01,银行,1991-04-03
000001.SZ,2021-09-30,银行,1991-04-03
000001.SZ,2021-10-08,银行,1991-04-03
000001.SZ,2021-10-29,银行,1991-04-03
000001.SZ,2021-11-01,银行,1991-04-03
000001.SZ,2021-11-30,银行,1991-04-03
000001.SZ,2021-12-01,银行,1991-04-03
000001.SZ,2021-12-31,银行,1991-04-03
000001.SZ,2022-01-04,银行,1991-04-03
000001.SZ,2022-01-28,银行,1991-04-03
000001.SZ,2022-02-07,银行,1991-04-03
000001.SZ,2022-02-28,银行,1991-04-03
000001.SZ,2022-03-01,银行,1991-04-03
000001.SZ,2022-03-31,银行,1991-04-03
000001.SZ,2022-04-01,银行,1991-04-03
000001.SZ,2022-04-29,银行,1991-04-03
000001.SZ,2022-05-05,银行,1991-04-03
000001.SZ,2022-05-31,银行,1991-04-03
000001.SZ,2022-06-01,银行,1991-04-03
000001.SZ,2022-06-30,银行,1991-04-03
000001.SZ,2022-07-01,银行,1991-04-03
000001.SZ,2022-07-29,银行,1991-04-03
000001.SZ,2022-08-01,银行,1991-04-03
000001.SZ,2022-08-31,银行,1991-04-03
000001.SZ,2022-09-01,银行,1991-04-03
000001.SZ,2022-09-30,银行,1991-04-03
000001.SZ,2022-10-10,银行,1991-04-03
000001.SZ,2022-10-31,银行,1991-04-03
000001.SZ,2022-11-01,银行,1991-04-03
000001.SZ,2022-11-30,银行,1991-04-03
000001.SZ,2022-12-01,银行,1991-04-03
000001.SZ,2022-12-30,银行,1991-04-03
000001.SZ,2023-01-03,银行,1991-04-03
000001.SZ,2023-01-31,银行,1991-04-03
