Instrument,Date
000002.SZ,2023-09-28
000002.SZ,2023-10-09
000002.SZ,2023-10-31
000002.SZ,2023-11-01
000002.SZ,2023-11-30
000002.SZ,2023-12-01
000002.SZ,2023-12-29
000002.SZ,2024-01-02
000002.SZ,2024-01-31
000002.SZ,2024-02-01
000002.SZ,2024-02-29
000002.SZ,2024-03-01
000002.SZ,2024-03-29
000002.SZ,2024-04-01
000002.SZ,2024-04-30
000002.SZ,2024-05-06
000002.SZ,2024-05-31
000002.SZ,2024-06-03
000002.SZ,2024-06-28
000002.SZ,2024-07-01
000002.SZ,2024-07-31
000002.SZ,2024-08-01
000002.SZ,2024-08-30
000002.SZ,2024-09-02
000002.SZ,2024-09-30
000002.SZ,2024-10-08
000002.SZ,2024-10-31
000002.SZ,2024-11-01
000002.SZ,2024-11-29
000002.SZ,2024-12-02
000002.SZ,2024-12-31
000002.SZ,2025-01-02
000002.SZ,2025-01-27
000002.SZ,2025-02-05
000008.SZ,2016-12-30
000008.SZ,2017-01-26
000008.SZ,2017-02-28
000008.SZ,2017-03-31
000008.SZ,2017-04-28
000008.SZ,2017-05-31
000008.SZ,2017-06-30
000008.SZ,2017-07-31
000008.SZ,2017-08-31
000008.SZ,2017-09-29
000008.SZ,2017-10-31
000008.SZ,2017-11-30
000008.SZ,2017-12-29
000008.SZ,2018-01-31
000008.SZ,2018-02-28
000008.SZ,2018-03-30
000008.SZ,2018-04-27
000008.SZ,2018-05-31
000009.SZ,2016-01-29
000009.SZ,2016-02-29
000009.SZ,2016-03-31
000009.SZ,2016-04-29
000009.SZ,2016-05-31
000009.SZ,2016-06-30
000009.SZ,2016-07-29
000009.SZ,2016-08-31
000009.SZ,2016-09-30
000009.SZ,2016-10-31
000009.SZ,2016-11-30
000009.SZ,2016-12-30
000009.SZ,2017-01-26
000009.SZ,2017-02-28
000009.SZ,2017-03-31
000009.SZ,2017-04-28
000009.SZ,2017-05-31
000009.SZ,2017-06-30
000009.SZ,2017-07-31
000009.SZ,2017-08-31
000009.SZ,2017-09-29
000009.SZ,2017-10-31
000009.SZ,2017-11-30
000027.SZ,2016-01-29
000027.SZ,2016-02-29
000027.SZ,2016-03-31
000027.SZ,2016-04-29
000027.SZ,2016-05-31
000027.SZ,2016-06-30
000027.SZ,2016-07-29
000027.SZ,2016-08-31
000027.SZ,2016-09-30
000027.SZ,2016-10-31
000027.SZ,2016-11-30
000027.SZ,2016-12-30
000027.SZ,2017-01-26
000027.SZ,2017-02-28
000027.SZ,2017-03-31
000027.SZ,2017-04-28
000027.SZ,2017-05-31
000039.SZ,2016-01-29
000039.SZ,2016-02-29
000039.SZ,2016-03-31
000039.SZ,2016-04-29
000039.SZ,2016-05-31
000039.SZ,2016-06-30
000039.SZ,2016-07-29
000039.SZ,2016-08-31
000039.SZ,2016-09-30
000039.SZ,2016-10-31
000039.SZ,2016-11-30
000039.SZ,2016-12-30
000039.SZ,2017-01-26
