Symbol,Date,Ind_class,List_date
000016.SZ,2020-12-31,家用电器,1992-03-27
000016.SZ,2021-01-29,家用电器,1992-03-27
000016.SZ,2021-02-26,家用电器,1992-03-27
000016.SZ,2021-03-31,家用电器,1992-03-27
000016.SZ,2021-04-30,家用电器,1992-03-27
000016.SZ,2021-05-31,家用电器,1992-03-27
000016.SZ,2021-06-30,家用电器,1992-03-27
000016.SZ,2021-07-30,家用电器,1992-03-27
000016.SZ,2021-08-31,家用电器,1992-03-27
000016.SZ,2021-09-30,家用电器,1992-03-27
000016.SZ,2021-10-29,家用电器,1992-03-27
000016.SZ,2021-11-30,家用电器,1992-03-27
000016.SZ,2021-12-31,家用电器,1992-03-27
000016.SZ,2022-01-28,家用电器,1992-03-27
000016.SZ,2022-02-28,家用电器,1992-03-27
000016.SZ,2022-03-31,家用电器,1992-03-27
000016.SZ,2022-04-29,家用电器,1992-03-27
000016.SZ,2022-05-31,家用电器,1992-03-27
000016.SZ,2022-06-30,家用电器,1992-03-27
000016.SZ,2022-07-29,家用电器,1992-03-27
000016.SZ,2022-08-31,家用电器,1992-03-27
000016.SZ,2022-09-30,家用电器,1992-03-27
000016.SZ,2022-10-31,家用电器,1992-03-27
000016.SZ,2022-11-30,家用电器,1992-03-27
000016.SZ,2022-12-30,家用电器,1992-03-27
000016.SZ,2023-01-31,家用电器,1992-03-27
000019.SZ,2019-06-28,农林牧渔,1992-10-12
000019.SZ,2019-07-31,农林牧渔,1992-10-12
000019.SZ,2019-08-30,农林牧渔,1992-10-12
000019.SZ,2019-09-30,农林牧渔,1992-10-12
000019.SZ,2019-10-31,农林牧渔,1992-10-12
000019.SZ,2019-11-29,农林牧渔,1992-10-12
000019.SZ,2019-12-31,农林牧渔,1992-10-12
000019.SZ,2020-01-23,农林牧渔,1992-10-12
000019.SZ,2020-02-28,农林牧渔,1992-10-12
000019.SZ,2020-03-31,农林牧渔,1992-10-12
000019.SZ,2020-04-30,农林牧渔,1992-10-12
000019.SZ,2020-05-29,农林牧渔,1992-10-12
000019.SZ,2020-06-30,农林牧渔,1992-10-12
000019.SZ,2020-07-31,农林牧渔,1992-10-12
000019.SZ,2020-08-31,农林牧渔,1992-10-12
000019.SZ,2020-09-30,农林牧渔,1992-10-12
000019.SZ,2020-10-30,农林牧渔,1992-10-12
000019.SZ,2020-11-30,农林牧渔,1992-10-12
000019.SZ,2020-12-31,农林牧渔,1992-10-12
000019.SZ,2021-01-29,农林牧渔,1992-10-12
000019.SZ,2021-02-26,农林牧渔,1992-10-12
000019.SZ,2021-03-31,农林牧渔,1992-10-12
000019.SZ,2021-04-30,农林牧渔,1992-10-12
000019.SZ,2021-05-31,农林牧渔,1992-10-12
000019.SZ,2021-06-30,农林牧渔,1992-10-12
000019.SZ,2021-07-30,农林牧渔,1992-10-12
000019.SZ,2021-08-31,农林牧渔,1992-10-12
000019.SZ,2021-09-30,农林牧渔,1992-10-12
000019.SZ,2021-10-29,农林牧渔,1992-10-12
000019.SZ,2021-11-30,农林牧渔,1992-10-12
000019.SZ,2021-12-31,农林牧渔,1992-10-12
000019.SZ,2022-01-28,农林牧渔,1992-10-12
000019.SZ,2022-02-28,农林牧渔,1992-10-12
000019.SZ,2022-03-31,农林牧渔,1992-10-12
000019.SZ,2022-04-29,农林牧渔,1992-10-12
000019.SZ,2022-05-31,农林牧渔,1992-10-12
000019.SZ,2022-06-30,农林牧渔,1992-10-12
000019.SZ,2022-07-29,农林牧渔,1992-10-12
000019.SZ,2022-08-31,农林牧渔,1992-10-12
000019.SZ,2022-09-30,农林牧渔,1992-10-12
000019.SZ,2022-10-31,农林牧渔,1992-10-12
000019.SZ,2022-11-30,农林牧渔,1992-10-12
000019.SZ,2022-12-30,农林牧渔,1992-10-12
000019.SZ,2023-01-31,农林牧渔,1992-10-12
000025.SZ,2020-12-31,汽车,1993-06-21
000025.SZ,2021-01-29,汽车,1993-06-21
000025.SZ,2021-02-26,汽车,1993-06-21
000025.SZ,2021-03-31,汽车,1993-06-21
000025.SZ,2021-04-30,汽车,1993-06-21
000025.SZ,2021-05-31,汽车,1993-06-21
000025.SZ,2021-06-30,汽车,1993-06-21
000025.SZ,2021-07-30,汽车,1993-06-21
000025.SZ,2021-08-31,汽车,1993-06-21
000025.SZ,2021-09-30,汽车,1993-06-21
000025.SZ,2021-10-29,汽车,1993-06-21
000025.SZ,2021-11-30,汽车,1993-06-21
000025.SZ,2021-12-31,汽车,1993-06-21
000025.SZ,2022-01-28,汽车,1993-06-21
000025.SZ,2022-02-28,汽车,1993-06-21
000025.SZ,2022-03-31,汽车,1993-06-21
000025.SZ,2022-04-29,汽车,1993-06-21
000025.SZ,2022-05-31,汽车,1993-06-21
000025.SZ,2022-06-30,汽车,1993-06-21
000025.SZ,2022-07-29,汽车,1993-06-21
000025.SZ,2022-08-31,汽车,1993-06-21
000025.SZ,2022-09-30,汽车,1993-06-21
000025.SZ,2022-10-31,汽车,1993-06-21
000025.SZ,2022-11-30,汽车,1993-06-21
000025.SZ,2022-12-30,汽车,1993-06-21
