factor,IC_mean,IC_std,IC_IR
IND_CLS,0.011945747840727777,0.11322046126554072,0.10550873673541138
FUND_CAP,-0.0031378581047314252,0.13773554034516866,-0.02278176058893642
FUND_EP,0.0164250532284423,0.13310041948414342,0.12340346703714976
FUND_BP,0.0024363793421611412,0.19752399040310828,0.012334599646295937
TS_KLEN,-0.02856161448019304,0.14489188674542308,-0.19712362867063887
TS_KMID1,-0.010792996174171433,0.1191874717142316,-0.09055478750358201
TS_KMID2,-0.006840676217196954,0.11144661116343921,-0.06138074676102025
TS_KUP1,-0.012215134534211265,0.09387406840445915,-0.13012256464247401
TS_KUP2,0.00045329566715699126,0.07571339970423764,0.005986993965767205
TS_KLOW1,-0.018360930241016225,0.09426721769172995,-0.19477534916814487
TS_KLOW2,-0.0003292414061872128,0.07707338223049078,-0.0042717913326108395
TS_KSFT1,-0.007768325939522012,0.11732658609791177,-0.06621113080916854
TS_KSFT2,-0.006339388881213823,0.1008298627625159,-0.06287213636445142
TS_OPEN0,0.009588689937989826,0.08093004394446021,0.118481215017877
TS_HIGH0,-0.010884127060914699,0.12231906326809001,-0.08898144549275742
TS_LOW0,0.022254700154620412,0.1175107948573656,0.1893843044941797
TS_MFD_VOLINFLOWRATE,0.0009865269928440537,0.07738621678787676,0.01274809693240621
CS_ROC5,0.016747436055344945,0.13751815481902793,0.12178345526366573
CS_ROC10,0.015685321577456692,0.1470534859931634,0.10666405812498667
CS_ROC20,0.024218166175640855,0.15814512394879404,0.15313887378204893
CS_ROC30,0.023241010806628423,0.1649452867127363,0.14090133322272044
CS_ROC60,0.017905341073339503,0.17600821350583096,0.10173014495568594
CS_MA5,0.018151046934014915,0.1364898780870475,0.13298456404539347
CS_MA10,0.017493839454574642,0.14403954171624675,0.12145164616697367
CS_MA20,0.02031709981921882,0.1556949600696725,0.13049298326758327
CS_MA30,0.02343821078753641,0.1640955715865661,0.14283268317921632
CS_MA60,0.023028601828151297,0.17715187140790498,0.12999355663100096
CS_STD5,-0.020040260168368587,0.13797734918528806,-0.1452431162556745
CS_STD10,-0.016155477171018933,0.14904571995120075,-0.10839276147150297
CS_STD20,-0.013795340334183085,0.15847714111616784,-0.08704940180660342
CS_STD30,-0.010546203589477042,0.1632860426236868,-0.06458729368426237
CS_STD60,-0.009071552964083896,0.17105123620556661,-0.05303412688103493
CS_SLOPE5,-0.019364697889411794,0.13598554885310932,-0.14240261595979886
CS_SLOPE10,-0.013812962109244499,0.14324666215144455,-0.09642781131361394
CS_SLOPE20,-0.019276271090923475,0.15230466587559277,-0.12656389073903315
CS_SLOPE30,-0.02165534656372624,0.15884385974551266,-0.13633102720130802
CS_SLOPE60,-0.013833302273027146,0.17318112997265198,-0.0798776533864379
CS_RESI5,-0.007086007479261224,0.11278978783206439,-0.0628249029939817
CS_RESI10,-0.015226123750686863,0.12106663011477205,-0.12576647864281335
CS_RESI20,-0.008744852509451331,0.1250776644827468,-0.06991538054068475
CS_RESI30,-0.007838619567342907,0.1256850440271361,-0.06236716252134586
CS_RESI60,-0.017293140837395984,0.13855410438246507,-0.1248114656326597
CS_RSQR5,0.007808593091965084,0.08627020759992886,0.09051320622962687
CS_RSQR10,0.007179849912266787,0.09449238805292579,0.07598336818670841
CS_RSQR20,0.0025790140753017806,0.09459081337850828,0.02726495293979311
CS_RSQR30,-0.0001461641276612846,0.09618120789672625,-0.0015196744858749027
CS_RSQR60,0.005860374575099574,0.09386722168729793,0.06243259861916843
CS_MAX5,-0.01014659441017153,0.1407774129843506,-0.07207544303502345
CS_MAX10,-0.012132772684497152,0.14597343546061553,-0.08311630569091212
CS_MAX20,-0.006607069034252949,0.1546024428320521,-0.042735864409531664
CS_MAX30,-0.00102121620609902,0.16370063100197013,-0.006238315636588655
CS_MAX60,-0.0015885319092676857,0.17314946602735226,-0.009174339059276953
CS_MIN5,0.02303977911515581,0.13087260905146234,0.1760473737181781
CS_MIN10,0.018203902257615503,0.137945855785202,0.13196411123768104
CS_MIN20,0.019848823326348335,0.14632600713853636,0.13564795291349788
CS_MIN30,0.01930726244801705,0.15117678157132974,0.1277131464722134
CS_MIN60,0.019684711625700773,0.16305850102542943,0.12072177471219907
CS_QTLU5,0.011174618156654843,0.1356050376012148,0.08240562706465955
CS_QTLU10,0.013037738271556196,0.14390660394824317,0.09059860988898948
CS_QTLU20,0.01744474436142588,0.1552521885655188,0.11236391913447281
CS_QTLU30,0.021210205743437554,0.16494041647577223,0.12859313803511027
CS_QTLU60,0.019659486343297228,0.17477795325139717,0.11248264427847722
CS_QTLD5,0.022463027914493536,0.12919839722031665,0.17386460202124854
CS_QTLD10,0.021369132385226246,0.1372631258547848,0.1556800652189238
CS_QTLD20,0.02249714401938068,0.147553028293419,0.1524681958722231
CS_QTLD30,0.02532329705357016,0.15523092150422743,0.16313307173713149
CS_QTLD60,0.024909427005889873,0.16715327731994384,0.14902146942779573
CS_RANK5,-0.014673484704357453,0.12082756021527163,-0.121441537660899
CS_RANK10,-0.012347737394672284,0.13157252362163283,-0.09384738587352062
CS_RANK20,-0.014683085988489622,0.14167066994432548,-0.10364238408881572
CS_RANK30,-0.01759144421626939,0.14885593522965765,-0.11817764732812963
CS_RANK60,-0.01626444493594474,0.15849176220142872,-0.10262012807501061
CS_RSV5,-0.006071376400874175,0.12651322144646096,-0.047990054568672225
CS_RSV10,-0.0013571788623295518,0.1353491368149133,-0.010027244312503162
CS_RSV20,-0.005511046003143872,0.1441236172584083,-0.038238326986081476
CS_RSV30,-0.008246104812854418,0.1528991954488846,-0.053931642927520534
