Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000300.SH,2008-03-19,3763.948000,3837.603000,3954.466000,3776.301000,3888.861000,3.3186696522,3789847700,68823708412.000000,1.3905915300,1.5941567700,4.7334607173,1,0,300,266,20,9,0,3.7227000000,3.7332000000,0,4,3.0000000000,18.0000000000,88.6666666667
000300.SH,2008-03-20,3888.861000,3833.205000,4044.692000,3658.040000,4001.832000,2.9049894044,4621294400,82432595360.000000,1.6833291200,1.9320475600,9.9425513023,2,0,300,256,29,17,1,3.6111000000,3.2821000000,0,17,5.6666666667,21.3333333333,85.3333333333
000300.SH,2008-03-21,4001.832000,3998.197000,4083.163000,3958.967000,4037.830000,0.8995380116,4261516300,74985408749.000000,1.5504903200,1.7794893400,3.1034786068,3,0,300,210,69,5,0,1.6299000000,1.0876000000,0,0,1.6666666667,23.3333333333,70.0000000000
000300.SH,2008-03-24,4037.830000,4086.070000,4103.574000,3857.091000,3857.091000,-4.4761418881,3584243800,63943570220.000000,1.3558835300,1.5594383600,6.1043431744,0,1,300,19,266,1,3,-4.0331000000,-3.8692000000,1,3,0.3333333333,19.6666666667,6.3333333333
000300.SH,2008-03-25,3857.091000,3780.459000,3937.671000,3747.019000,3905.774000,1.2621688210,3224586300,58292419115.000000,1.1784285100,1.3533413700,4.9428960841,1,0,300,209,72,7,0,1.5345000000,1.6086000000,0,7,2.3333333333,23.3333333333,69.6666666667
000300.SH,2008-03-26,3905.774000,3926.864000,4001.552000,3888.018000,3914.370000,0.2200844186,2803676300,52026059303.000000,1.0222621000,1.1748955100,2.9068246140,2,0,300,136,143,0,0,-0.0634000000,-0.0367000000,0,3,0E-10,21.3333333333,45.3333333333
000300.SH,2008-03-27,3914.370000,3847.439000,3873.611000,3745.879000,3748.920000,-4.2267338039,3200066800,55151411007.000000,1.1631590700,1.3350455700,3.2631560123,0,1,300,18,267,0,10,-5.0304000000,-5.3628000000,0,13,0E-10,16.3333333333,6.0000000000
000300.SH,2008-03-28,3748.920000,3712.980000,3925.856000,3661.381000,3918.156000,4.5142601069,4209677700,72726088760.000000,1.5519281400,1.7830983500,7.0546984198,1,0,300,272,8,9,0,4.0506000000,3.9370000000,0,17,3.0000000000,19.6666666667,90.6666666667
000300.SH,2008-03-31,3918.156000,3802.206000,3891.660000,3780.122000,3790.530000,-3.2572975655,2944084100,51166599954.000000,1.0804552700,1.2385369500,2.8466962520,0,1,300,28,253,0,11,-3.9068000000,-3.9656000000,0,1,0E-10,14.0000000000,9.3333333333
000300.SH,2008-04-01,3790.530000,3776.268000,3815.157000,3566.209000,3582.855000,-5.4787852886,3530346200,58962080537.000000,1.2879702800,1.4779240400,6.5676303841,0,2,300,8,276,0,66,-7.4628000000,-8.4310000000,0,18,0E-10,9.0000000000,2.6666666667
000300.SH,2008-04-02,3582.855000,3621.388000,3698.526000,3493.184000,3547.977000,-0.9734694817,4276588400,70102758265.000000,1.5756503600,1.8086516900,5.7312394724,0,3,300,57,222,0,16,-3.3254000000,-3.5313000000,0,27,0E-10,8.0000000000,19.0000000000
000300.SH,2008-04-03,3547.977000,3518.223000,3665.651000,3457.617000,3650.698000,2.8951991515,3298949300,54233901216.000000,1.1912254000,1.3650178300,5.8634540190,1,0,300,257,29,5,1,3.2117000000,3.3484000000,0,14,1.6666666667,8.3333333333,85.6666666667
000300.SH,2008-04-07,3650.698000,3611.958000,3854.068000,3578.377000,3845.822000,5.3448409044,4048498200,70525926871.000000,1.4566762400,1.6727601900,7.5517339424,2,0,300,285,0,31,0,6.5683000000,6.3717000000,0,0,10.3333333333,12.3333333333,95.0000000000
000300.SH,2008-04-08,3845.822000,3852.011000,3935.333000,3820.100000,3891.059000,1.1762634880,4406792200,76485916343.000000,1.5739279800,1.8045056900,2.9963165222,3,0,300,220,60,6,1,1.9359000000,1.3699000000,0,0,2.0000000000,14.3333333333,73.3333333333
000300.SH,2008-04-09,3891.059000,3857.275000,3911.697000,3687.597000,3688.125000,-5.2153925191,3899716800,64555767429.000000,1.3857694800,1.5892069600,5.7593575425,0,1,300,13,271,1,14,-5.4419000000,-5.6655000000,0,0,0.3333333333,10.6666666667,4.3333333333
000300.SH,2008-04-10,3688.125000,3641.660000,3754.715000,3608.316000,3754.715000,1.8055244874,2880439600,47152258251.000000,1.0302655800,1.1773203000,3.9694695814,1,0,300,246,37,2,0,2.4184000000,2.1881000000,0,2,0.6666666667,12.0000000000,82.0000000000
000300.SH,2008-04-11,3754.715000,3794.297000,3825.295000,3755.015000,3783.728000,0.7727084479,2632859000,44418993019.000000,0.9310428100,1.0660360100,1.8717798821,2,0,300,206,75,2,0,1.0497000000,0.8304000000,0,0,0.6666666667,12.3333333333,68.6666666667
000300.SH,2008-04-14,3783.728000,3699.142000,3710.786000,3525.185000,3536.327000,-6.5385513969,3342704600,54637417005.000000,1.1756690600,1.3501373700,4.9052416030,0,1,300,5,284,1,37,-6.8811000000,-7.1111000000,0,5,0.3333333333,9.0000000000,1.6666666667
