Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,Amount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000852.SH,2008-01-02,4493.420000,4508.450000,4638.280000,4506.360000,4636.770000,3.1902203667,1307987720,16482192000.000000,,,2.9358484184,1,0,1000,,,,,,,23,0,0E-10,,0E-10
000852.SH,2008-01-03,4636.770000,4637.940000,4745.870000,4629.200000,4741.030000,2.2485480194,1636454300,20614039000.000000,,,2.5161912279,2,0,1000,,,,,,,28,0,0E-10,,0E-10
000852.SH,2008-01-04,4741.030000,4753.600000,4782.830000,4703.510000,4778.030000,0.7804211321,1412820200,18099654000.000000,,,1.6730541676,3,0,1000,,,,,,,8,0,0E-10,,0E-10
000852.SH,2008-01-07,4778.030000,4775.440000,4874.840000,4758.870000,4867.130000,1.8647852776,1505908700,19716728000.000000,,,2.4271509388,4,0,1000,,,,,,,26,0,0E-10,,0E-10
000852.SH,2008-01-08,4867.130000,4872.790000,4887.260000,4696.170000,4739.090000,-2.6307084463,1713594500,21675440000.000000,,,3.9261330599,0,1,1000,,,,,,,20,0,0E-10,,0E-10
000852.SH,2008-01-09,4739.090000,4717.030000,4884.270000,4712.220000,4884.270000,3.0634573304,1356066800,17425070000.000000,,,3.6304438194,1,0,1000,,,,,,,18,0,0E-10,,0E-10
000852.SH,2008-01-10,4884.270000,4884.270000,4939.950000,4876.700000,4894.590000,0.2112905306,1587016000,20719830000.000000,,,1.2949734556,2,0,1000,,,,,,,32,0,0E-10,,0E-10
000852.SH,2008-01-11,4894.590000,4893.120000,4901.220000,4796.840000,4867.470000,-0.5540811386,1336795760,17831531000.000000,,,2.1325586004,0,1,1000,,,,,,,9,0,0E-10,,0E-10
000852.SH,2008-01-14,4867.470000,4878.460000,4948.580000,4859.200000,4946.350000,1.6205544153,1445171500,18475841000.000000,,,1.8362722318,1,0,1000,,,,,,,22,0,0E-10,,0E-10
000852.SH,2008-01-15,4946.350000,4948.370000,5009.840000,4945.850000,4999.920000,1.0830208133,1487934200,19438966000.000000,,,1.2936811993,2,0,1000,,,,,,,18,0,0E-10,,0E-10
000852.SH,2008-01-16,4999.920000,4977.450000,4995.470000,4926.340000,4957.380000,-0.8508136130,1709202400,21932802000.000000,,,1.3826221220,0,1,1000,,,,,,,28,1,0E-10,,0E-10
000852.SH,2008-01-17,4957.380000,4933.100000,5005.810000,4690.870000,4849.480000,-2.1765529372,1916359900,23561514000.000000,,,6.3529525677,0,2,1000,,,,,,,21,0,0E-10,,0E-10
000852.SH,2008-01-18,4849.480000,4847.120000,4890.700000,4793.390000,4886.730000,0.7681235926,1352158000,15987706000.000000,,,2.0066068939,1,0,1000,,,,,,,12,0,0E-10,,0E-10
000852.SH,2008-01-21,4886.730000,4902.590000,4916.010000,4662.920000,4680.890000,-4.2122237161,1383052200,16989775000.000000,,,5.1791279649,0,1,1000,,,,,,,14,0,0E-10,,0E-10
000852.SH,2008-01-22,4680.890000,4581.630000,4581.630000,4279.780000,4292.690000,-8.2932946512,1480679800,16976125000.000000,,,6.4485599961,0,2,1000,,,,,,,1,1,0E-10,,0E-10
000852.SH,2008-01-23,4292.690000,4253.820000,4473.350000,4198.890000,4471.130000,4.1568340598,1534087000,17787521000.000000,,,6.3936599195,1,0,1000,,,,,,,1,1,0E-10,,0E-10
000852.SH,2008-01-24,4471.130000,4490.240000,4643.520000,4457.650000,4605.940000,3.0151214570,1509825900,18552715000.000000,,,4.1571146444,2,0,1000,,,,,,,13,0,0E-10,,0E-10
000852.SH,2008-01-25,4605.940000,4602.780000,4662.090000,4581.300000,4612.950000,0.1521947746,1378891200,16331606000.000000,,,1.7540393492,3,0,1000,,,,,,,14,0,0E-10,,0E-10
000852.SH,2008-01-28,4612.950000,4592.090000,4592.090000,4265.720000,4282.730000,-7.1585427980,1183249860,13322338500.000000,,,7.0750821058,0,1,1000,,,,,,,2,0,0E-10,,0E-10
000852.SH,2008-01-29,4282.730000,4279.800000,4385.590000,4231.600000,4360.980000,1.8271056079,897037210,10361201200.000000,,,3.5956037387,1,0,1000,,,,,,,0,3,0E-10,,0E-10
000852.SH,2008-01-30,4360.980000,4387.340000,4460.140000,4275.580000,4389.440000,0.6526056070,949611390,11161337700.000000,,,4.2320762764,2,0,1000,,,,,,,1,0,0E-10,,0E-10
000852.SH,2008-01-31,4389.440000,4378.190000,4393.130000,4215.110000,4215.110000,-3.9715772399,746598470,8494707900.000000,,,4.0556426332,0,1,1000,,,,,,,0,0,0E-10,,0E-10
000852.SH,2008-02-01,4215.110000,4201.990000,4238.120000,3904.830000,4027.370000,-4.4539762901,891299960,9963680200.000000,,,7.9070297098,0,2,1000,,,,,,,1,6,0E-10,,0E-10
