Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,Amount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000906.SH,2008-02-15,4837.980000,4805.879900,4805.879900,4707.720200,4780.939900,-1.1790065275,4342540000,74576675000.000000,1.1769886800,1.3189294400,2.0289397641,0,1,800,225,545,5,0,-0.6958000000,-1.2281000000,2,2,0.6250000000,70.8750000000,28.1250000000
000906.SH,2008-02-18,4780.939900,4843.330100,4922.919900,4818.990200,4890.520000,2.2920200273,5951280000,105279624000.000000,1.6800154700,1.8802269500,2.1738340614,1,0,800,744,23,24,1,2.9887000000,2.5547000000,10,0,3.0000000000,76.8750000000,93.0000000000
000906.SH,2008-02-19,4890.520000,4905.259800,4994.950200,4867.520000,4994.950200,2.1353598390,6500030000,118488209000.000000,1.7665756500,1.9768237500,2.6056574761,2,0,800,680,81,9,0,2.0893000000,1.8390000000,9,0,1.1250000000,82.1250000000,85.0000000000
000906.SH,2008-02-20,4994.950200,5008.350100,5035.080100,4891.279800,4898.790000,-1.9251483228,7103490000,132204368000.000000,2.0254191100,2.2059483400,2.8789135876,0,1,800,198,562,7,1,-1.1726000000,-1.6709000000,9,0,0.8750000000,78.6250000000,24.7500000000
000906.SH,2008-02-21,4898.790000,4870.830100,4931.370100,4797.290000,4887.399900,-0.2325084358,6495820000,113646732000.000000,1.7659163300,1.9748793000,2.7370044440,0,2,800,500,254,10,0,1.0258000000,0.7843000000,10,0,1.2500000000,78.6250000000,62.5000000000
000906.SH,2008-02-22,4887.399900,4865.029800,4865.029800,4665.980000,4726.049800,-3.3013484327,6911780000,122107169000.000000,1.8883322800,2.1101717400,4.0727135915,0,3,800,121,639,2,0,-2.5841000000,-3.1009000000,5,6,0.2500000000,74.6250000000,15.1250000000
000906.SH,2008-02-25,4726.049800,4729.689900,4749.970200,4540.600100,4550.379900,-3.7170556265,6038760000,103764612000.000000,1.6404180800,1.8355491500,4.4301289419,0,4,800,83,680,5,7,-3.5580000000,-3.9077000000,3,8,0.6250000000,66.0000000000,10.3750000000
000906.SH,2008-02-26,4550.379900,4664.250000,4698.370100,4423.359900,4546.910200,-0.0762507763,5856400000,103801447000.000000,1.5987133700,1.7888678300,6.0436756061,0,5,800,472,282,5,1,0.2682000000,0.8582000000,5,5,0.6250000000,66.3750000000,59.0000000000
000906.SH,2008-02-27,4546.910200,4570.680200,4681.990200,4532.569800,4666.500000,2.6301333156,5336730000,93928198000.000000,1.4329453100,1.5991815000,3.2861964153,1,0,800,723,45,11,0,2.5325000000,2.1327000000,2,0,1.3750000000,71.8750000000,90.3750000000
000906.SH,2008-02-28,4666.500000,4677.279800,4704.609900,4613.529800,4655.410200,-0.2376470588,4951580000,84549927000.000000,1.3299197900,1.4884936100,1.9517861352,0,1,800,351,399,3,0,0.1477000000,-0.1308000000,7,0,0.3750000000,72.5000000000,43.8750000000
