Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,Amount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000905.SH,2008-01-02,4947.600000,4963.050000,5125.320000,4960.350000,5123.930000,3.5639501981,3434591100,50449935000.000000,3.4423190200,3.6607351900,3.3343439243,1,0,500,466,10,24,0,3.9025000000,3.3529000000,28,1,4.8000000000,95.0000000000,93.2000000000
000905.SH,2008-01-03,5123.930000,5129.050000,5241.550000,5110.530000,5230.750000,2.0847279334,4198748300,61752735000.000000,4.0935929900,4.3382697600,2.5570216611,2,0,500,405,77,10,0,2.2214000000,2.1482000000,28,1,2.0000000000,95.8000000000,81.0000000000
000905.SH,2008-01-04,5230.750000,5241.090000,5246.110000,5171.400000,5243.030000,0.2347655690,3330859100,50326511000.000000,3.2556703600,3.4591284700,1.4282846628,3,0,500,202,268,7,0,0.1788000000,-0.2554000000,15,0,1.4000000000,96.2000000000,40.4000000000
000905.SH,2008-01-07,5243.030000,5237.940000,5358.590000,5222.200000,5347.810000,1.9984627210,4040371300,61298206000.000000,3.9750913200,4.2270995800,2.6013583748,4,0,500,397,84,11,0,2.0887000000,1.6043000000,19,0,2.2000000000,97.6000000000,79.4000000000
000905.SH,2008-01-08,5347.810000,5358.810000,5367.540000,5158.120000,5200.550000,-2.7536505598,4247288400,63913950000.000000,4.2276441600,4.4760910800,3.9159955197,0,1,500,60,418,1,0,-3.0076000000,-3.6747000000,13,0,0.2000000000,95.4000000000,12.0000000000
000905.SH,2008-01-09,5200.550000,5176.270000,5356.480000,5167.340000,5356.480000,2.9983367144,3482378500,53189256000.000000,3.3794439000,3.5699801700,3.6369230178,1,0,500,463,21,14,0,3.0972000000,2.5672000000,11,0,2.8000000000,96.6000000000,92.6000000000
000905.SH,2008-01-10,5356.480000,5372.820000,5438.310000,5354.860000,5382.330000,0.4825930462,4084967800,62964595000.000000,3.9733366600,4.2170208600,1.5579261007,2,0,500,235,247,3,0,0.4703000000,-0.0707000000,19,0,0.6000000000,96.8000000000,47.0000000000
000905.SH,2008-01-11,5382.330000,5385.910000,5392.270000,5290.710000,5376.800000,-0.1027436073,3494823500,53937951000.000000,3.4265339500,3.6279592800,1.8869151464,0,1,500,176,302,4,0,-0.2551000000,-0.7851000000,7,0,0.8000000000,96.2000000000,35.2000000000
000905.SH,2008-01-14,5376.800000,5382.730000,5450.890000,5368.480000,5445.100000,1.2702722809,3385086900,53364316000.000000,3.3369181100,3.5492755100,1.5326960274,1,0,500,356,117,8,0,1.4665000000,1.0733000000,14,0,1.6000000000,96.6000000000,71.2000000000
000905.SH,2008-01-15,5445.100000,5451.640000,5495.390000,5418.120000,5487.090000,0.7711520450,3688040400,56818805000.000000,3.6423183300,3.8764719500,1.4190740299,2,0,500,312,164,4,0,1.0148000000,0.9046000000,17,0,0.8000000000,97.2000000000,62.4000000000
000905.SH,2008-01-16,5487.090000,5461.880000,5463.200000,5389.150000,5412.910000,-1.3519005520,3905999000,58914563000.000000,3.9009104500,4.1626078900,1.3495313545,0,1,500,152,316,2,0,-1.2492000000,-1.8013000000,19,1,0.4000000000,96.8000000000,30.4000000000
000905.SH,2008-01-17,5412.910000,5380.820000,5467.130000,5106.920000,5270.960000,-2.6224341436,4293508800,65264969000.000000,4.1988362200,4.4762514400,6.6546460222,0,2,500,96,385,2,3,-2.5687000000,-3.3084000000,13,0,0.4000000000,95.8000000000,19.2000000000
000905.SH,2008-01-18,5270.960000,5268.900000,5320.450000,5210.360000,5317.450000,0.8820025195,3123822800,44924736000.000000,3.0745881300,3.2749946400,2.0886138388,1,0,500,312,160,8,0,0.9223000000,0.6321000000,9,0,1.6000000000,96.0000000000,62.4000000000
