Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,Amount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000903.SH,2008-01-02,5578.450200,5585.549800,5617.330100,5505.509800,5591.810100,0.2394912479,2506940000,56952872000.000000,1.5062395500,1.7184811400,2.0045047637,1,0,100,63,31,1,0,1.3635000000,1.1981000000,6,0,1.0000000000,92.0000000000,63.0000000000
000903.SH,2008-01-03,5591.810100,5584.120100,5605.950200,5481.980000,5604.790000,0.2321234049,3759290000,81289970000.000000,2.2320765100,2.5706198100,2.2169958883,2,0,100,59,39,1,0,0.9849000000,0.6557000000,8,0,1.0000000000,91.0000000000,59.0000000000
000903.SH,2008-01-04,5604.790000,5609.689900,5686.569800,5598.100100,5669.370100,1.1522305028,3029330000,70766861000.000000,1.8088399800,2.0748770000,1.5784659193,3,0,100,61,35,1,0,0.9825000000,0.5921000000,5,0,1.0000000000,92.0000000000,61.0000000000
000903.SH,2008-01-07,5669.370100,5665.669900,5750.020000,5639.419900,5736.069800,1.1764922526,3063870000,73377929000.000000,1.8138400200,2.0954384600,1.9508357727,4,0,100,67,29,0,0,1.0521000000,0.5193000000,9,0,0E-10,92.0000000000,67.0000000000
000903.SH,2008-01-08,5736.069800,5756.770000,5844.149900,5699.710000,5743.830100,0.1352894973,3792320000,90432596000.000000,2.2508884000,2.6013813800,2.5180987163,5,0,100,36,60,0,0,-0.8835000000,-1.3776000000,5,0,0E-10,92.0000000000,36.0000000000
000903.SH,2008-01-09,5743.830100,5722.060100,5813.730000,5698.109900,5812.109900,1.1887503427,2592500000,64162039000.000000,1.5244979200,1.7593450000,2.0129442896,6,0,100,88,9,0,0,1.6717000000,1.3774000000,4,0,0E-10,93.0000000000,88.0000000000
000903.SH,2008-01-10,5812.109900,5829.910200,5898.950200,5789.669900,5867.319800,0.9499114943,3824530000,89204291000.000000,2.1920969700,2.5848030800,1.8802173717,7,0,100,65,31,0,0,1.1636000000,0.6824000000,5,0,0E-10,94.0000000000,65.0000000000
000903.SH,2008-01-11,5867.319800,5887.839800,5916.240200,5838.279800,5914.399900,0.8024123723,3363190000,76416750000.000000,1.9570235400,2.3104386400,1.3287225285,8,0,100,41,55,1,0,0.2020000000,-0.6013000000,4,0,1.0000000000,95.0000000000,41.0000000000
000903.SH,2008-01-14,5914.399900,5938.620100,5965.730000,5892.669900,5934.450200,0.3390081891,2689940000,64210207000.000000,1.5601011000,1.8407398100,1.2352918510,9,0,100,59,34,0,0,0.7576000000,0.4689000000,3,0,0E-10,95.0000000000,59.0000000000
000903.SH,2008-01-15,5934.450200,5944.710000,5947.700200,5833.910200,5872.370100,-1.0460969072,2874340000,72810335000.000000,1.6519566400,1.9488477800,1.9174480561,0,1,100,39,59,0,0,-0.2989000000,-0.5659000000,7,0,0E-10,94.0000000000,39.0000000000
000903.SH,2008-01-16,5872.370100,5812.770000,5812.770000,5637.830100,5643.750000,-3.8931486965,3093220000,76242385000.000000,1.9592979900,2.1895361000,2.9790339679,0,2,100,7,89,0,0,-3.6726000000,-3.8987000000,4,0,0E-10,91.0000000000,7.0000000000
000903.SH,2008-01-17,5643.750000,5576.230000,5666.240200,5367.689900,5503.609900,-2.4831025471,3414600000,80422976000.000000,1.9539385600,2.3109763500,5.2899277962,0,3,100,12,85,0,1,-2.7345000000,-2.8286000000,3,1,0E-10,88.0000000000,12.0000000000
000903.SH,2008-01-18,5503.609900,5492.339800,5550.660200,5438.560100,5537.509800,0.6159575373,2268890000,52735005000.000000,1.3119654200,1.5332394500,2.0368467613,1,0,100,65,29,0,0,0.7957000000,0.7232000000,2,0,0E-10,90.0000000000,65.0000000000
000903.SH,2008-01-21,5537.509800,5548.029800,5559.310100,5226.310100,5249.879900,-5.1942102206,2498170000,57056299000.000000,1.4503163000,1.7077533600,6.0135333756,0,1,100,3,92,0,2,-5.2922000000,-5.7227000000,1,2,0E-10,81.0000000000,3.0000000000
